Dream Street Park,Bushwick Green/Central Knoll,Green Central Knoll,Peter Detmold Park,Corlears Hook Park,Steuben Playground
Triangle,Taqwa Commnity Farm,Taqwa Community Farm,First Quincy St Block Association,William Simmons Community Garden Club,McKinley's Children's Garden
Peachtree Garden,Wood Park,Cypress Hills Change Garden,Washington's Walk,Beach Street Park/Tribeca Park,Neighborhood Community Garden
Beach 9 Playground,Crescent Beach Park,Crescent Beach.Park,Crescent Beach Park Addition,Canarsie Park,Bath Beach Playground
"100 UNITED NATIONS PLAZA, New York, NY 10017",Grand Sutton,Evans Tower,Sterling Plaza,Corinthian,Rio
Roy Wilkins Recreation Center,St James Square Park,Carolina Garden,Sara D. Roosevelt Park,Sara D Roosevelt Park,Sara D. Roosevelt Parkway Plgd
Marcy Playground,Twenty Four Sycamores Park,Thomas Greene Playground,Power Playground,Howard Von Dohlen Playground,John Jay Park
Murray Hill,"60 EAST END AVENUE, New York, NY 10028","825 THIRD AVENUE, New York, NY 10022",Dunhill,Crystal House,Carlton Regency
Laguardia Approach Lights Park,Shield Of Faith Garden,Family Community Garden,Umoja Garden,Culinary Kids Garden,Sunshine Community Garden
Marcy Green Center,Catherine Turner Richardson Pk,Nehemiah Park,Middle Village Playground,Rose Hill Park,Hero Park
Cuyler Gore Park,Playground,Schmul Park,Thomas Greene Playground,Aqueduct Walk,Aqueduct Walk/Barnwell Square
Bertelsmann,United States Trust,CitySpire,Rihga Royal Hotel,Metropolitan Tower,"810 SEVENTH AVENUE, New York, NY 10019"
Brookville Park,Powells Cove Park Addition,Powell's Cove Park,New Dorp Park,Addition To Astoria Park,Astoria Park
Earth People Garden,Earth People,CEP Community Garden,Harlem Rose Garden,I.L. Peretz Square Park,Hammock Grove
Ascot,"50 LEXINGTON AVENUE, New York, NY 10010",Austen House,"243 LEXINGTON AVENUE, New York, NY 10016",Strathmore,Normandie Court
Fort Totten Park,Fort Totten Park,Conrad Grauer Field,811 Family and Friends Garden,Rivercross Lawn,Zion Park/Loew Square
E 4th Street Garden,Family Community Garden,Laguardia Approach Lights Park,Sterling Community Group,Will Washington Memorial Gdn,Pier 5
De Matti Park,Highland Park,Abraham Levy Memorial Park,Joseph P Addabbo Memorial Park,Tudor Park,Jack Breininger Park
W Downtown Hotel & Residences,"43 PARK PLACE, New York, NY 10007",One Eleven Murray Street,"425 FIFTH AVENUE, New York, NY 10016","205 EAST 92 STREET, New York, NY 10128","33 BEEKMAN STREET, New York, NY 10038"
Crescent Beach.Park,Crescent Beach Park Addition,Hybrid Oaks Woods Park,Staten Island Historic House,Blueberry Park,Pier 4 Park
Howard Von Dohlen Playground,Seton Hospital Site,Seton Park,Police Officer Edward Byrne Pk,Police Officer Edward Byrne Park,Jacob Joffe Fields
Triborough Bridge Approach,Georgia Ave Garden,PS 309 Playground,Los Amigos Garden,Woodycrest Community Garden,Jerome Park
Alabama Avenue Playground,Breukelen Ballfields,Mapes Avenue Ballfield,Harris Park,IS 2 Playground/Midland Field,Dyker Beach Park
Noble Playground,P.O. Serrano Playground,St. Michael's Playground,Maple Playground,Windmill Community Garden,Captain Tilly Park
St Albans Memorial Park,St. Albans Memorial Park,St Albans Memorial Park,Mill Pond Park,Elmhurst/Veterans Grove Park,St. Andrew's Playground
Under Brooklyn Bridge,Longfellow Garden,PS 309 Playground,Boston Road Garden,Leif Ericson Park And Square,Los Amigos Garden
Laurence Tower,"980 FIFTH AVENUE, New York, NY 10075","919 THIRD AVENUE, New York, NY 10022",Fairmont,"909 THIRD AVENUE, New York, NY 10022","45 EAST 89 STREET, New York, NY 10128"
The Harmony/David Rubenstein Atrium,Paramount Plaza,Stevens Tower,Two Lincoln Square,"745 SEVENTH AVENUE, New York, NY 10019","135 EAST 57 STREET, New York, NY 10022"
Dr. Ronald E. McNair Playground,Simeone Park,Twu Park,William C Bergen Park,Mw United Orient Grand Lodge,Marcy Green South
IS 2 Playground/Midland Field,Mapes Avenue Ballfield,Breukelen Ballfields,Alabama Avenue Playground,James J Walker Park,Harris Park
Sterling Comm Group Garden,Fantasy Garden,Sterling Comm Group Garden,Garden,Garden Beautiful,Manley's Place Garden
Floral Vineyard,Fd Roosevelt Boardwalk & Beach,Jardin De La Familia Garden,Lincoln Rd Block Association,Sterling Community Group,Boston Road Garden
Trump Palace,Future,Rivergate,Cosmopolitan,30 Park Place,"600 THIRD AVENUE, New York, NY 10016"
Robert Moses Playground,Hillside Dog Park,Corlears Hook Park,Andrew Haswell Green Park,Steuben Playground,Mount Prospect Park
Breininger Park,Police Officer Nicholas Demutiis Park,Hell's Kitchen Park,Playground One Thirty Four CXXXIV,Abraham Levy Memorial Park,American Heart
Willowbrook Parkway,Conrad Grauer Field,The Creative Little Garden,Hendrick I Lott House,Brooklyn Bears Rockwell Pl Garden,Creedmoor Farm Park
Harlem Grown,East New York Farms Garden,Pier 96,Pier 95,Tranquility Farm,Padre Plaza Garden
Roy Wilkins-Southern Qns. Park,Roy Wilkins-Southern Qns. Park,Wagner Houses.Pool,Wagner Houses Pool,Tottenville Pool,Kosciusko Pool
Bailey Playground,Taaffe Playground,Cedar Playground,Bill Brown Playground,Judge Moses Weinstein Playground,Park Of The Americas
The Olde Towne of Flushing Burial Ground,Steuben Playground,Hillside Dog Park,Corlears Hook Park,Mount Prospect Park,Tribeca Dog Run
Brisas Del Caribe,Brownsville Green,117th St Community Garden,Liggett Terrace,Brooklyn Academy Of Music,Surfside Garden
"1700 BROADWAY, New York, NY 10019","1250 BROADWAY, New York, NY 10001",Symphony House,"1155 SIXTH AVENUE, New York, NY 10036","420 FIFTH AVENUE, New York, NY 10018","108 FIFTH AVENUE, New York, NY 10011"
William B. Washington Memorial Garden,Clifton Pl Memorial Park and Garden,Fishbridge Garden,Shiloh Garden,Jackie Robinson Community Garden,Fox Park
Peoples Park,Colucci Playground,Columbus Park,Frederick B. Judge Playground,Haggerty Park,Seth Low Playground/ Bealin Square
Dubos Point Wildlife Refuge,Morris-Jumel Ecological Education Garden,Morris-Jumel Ecological Garden,176th Street Community Garden,Foley Square / T.Paine Park,Thomas Paine Park/Foley Square
Ravenswood Playground,Wood Park,Cunningham Park,Seton Hospital Site,Seton Park,Callahan-Kelly Playground
Marcus Garvey Park,River Avenue Park,Roberto Clemente,Epiphany Park,Sobel Court Park,Golconda Playground
Allied Productions/Le Petit Versailles,Raoul Wallenberg Park,Edgecombe Park,Model T Senior Citizen's Garden,La Perla Garden,Triborough Bridge Approach
Little Green Garden,Martins Field Playground,Martins Field Playground Addit,Bryant Hill Garden,Little Bay Park,Claremont Neighborhood Garden
Rose Hill Park,Bayview Terrace Park  R-137,Bayview Terrace Park,Bayview Terrace Park   R-137,Catherine Turner Richardson Pk,Marcy Green Center
El Flamboyan Garden,Harris Garden,Sugar Hill Garden,Brook Park,Patchen Community Square Garden,Brownsville Community Farm
Saatchi & Saatchi,Cbs,Libya House,"17 BATTERY PLACE, New York, NY 10004",Solow,One Lincoln Plaza
East Promenade,Euclid 500 Block Assoc Garden,Granite St Block Association,J. Driscoll Tucker Place Plgd,Howard Av Block Association,Summit Avenue Park
Fort Totten (Us Army),Conrad Grauer Field,811 Family and Friends Garden,Rivercross Lawn,Zion Park/Loew Square,James Madison Plaza
Madison Street Block Association,Patchen Community Square Garden,Ten Eyck Plaza,Mckinley's Children's Garden,McKinley's Children's Garden,El Flamboyan Garden
Robert Venable Playground,Rodney Playground Center,Henry A Whalen Park,Mother Cabrini Park,Fort Independence Park,St. Catherine's Park
Duane Street Park,Cooper Gore/Orient Grive,Orient Grove,Crosson Greeen Park,Collyer Brothers Park,Dr. Ronald McNair Park
Sara D. Roosevelt Park,Crowley Playground,Roy Wilkins Recreation Center,John J Carty Park,Summit Street Community Garden,Summit St Community Garden
Big Red Garden,Brooklyn Marine Park,George Walker Jr. Park,Locust Manor Civic Association,Madison Community Greenthumb,Prophecy Garden
Henry Garnet Garden,PS 14 & Stapleton HSes Playgd,Jhs 145 & Playground (Jop),Marine Park/Jhs 278-K,E N Y Vocational HS Plgd,Success Garden
Brookfield Park,Park Butter Avenue,Allison Park,Willowbrook Park,Long Pond Park Addition,Long Pond Park
Waterbury Park/Bufano Plgd,Junction Playground,Col. Young Playground,St. Catherine's Park,Judge Moses Weinstein Playground,Rodney Playground Center
Welcome Home Garden,Lions Pride Playground,Brooklyn Bears Carlton Ave Garden,P.S. 53,P.S. 4 Paradise Garden,Life Spire Garden
Future Amusement Park,Walton Slope (Park Grass Area),CPL. Thompson Park,M. Fidler/Wycoff House Park,Park Of The Americas,Rockaway Community Park
First Park,Frederick Douglass Playground,West Farms Rapids,Abraham Lincoln Playground,Brisas Del Caribe,Washington Market Park
Halsey and Ralph Garden,Our Little Green Acre/Garden 8,Grand Canal Court Park,Spencer St Block Association,Tudor Grove Playground,Java Garden
Alice Austen House & Park,Metro North Park,Ingersoll Houses,Mw United Orient Grand Lodge,Brooklyn Borough Hall/Park,Farm Colony
"40 EAST 52 STREET, New York, NY 10022","780 THIRD AVENUE, New York, NY 10017",Two Grand Central Tower,"280 PARK AVENUE, New York, NY 10017","101 PARK AVENUE, New York, NY 10178","767 THIRD AVENUE, New York, NY 10017"
Kelly Street Park,J. Driscoll Tucker Place Plgd,Howard Av Block Association,Atkins Gardeners,Green Valley Garden,Laguardia Landing Lights
TLC Sculpture Park.Garden,Berry Street Garden,Pueble Unido Garden,Alice Kornegay Triangle,Livonia Park,College Point Industrial Park
Addition To Ft Washington Pk,J. Hood Wright Park,Maria Hernandez Park,Bill Rainey Memorial Park,Sherry Park,Gantry Plaza
Highgate,America,Saratoga,Monarch,Madison Green,Madison Belvedere
C.A.U.S.A. Festival Garden,Fox Park,Project Roots,Bradhurst Ave Garden,College Point Industrial Park,Samuel N. Bennerson 2nd Playground
St. Nicholas Park,Jackie Robinson Park,Tompkins Square Park,Luther Gulick Park,Brower Park,Mount Prospect Park
Central Park,Park/Plot,Prospect Park,East River Park/Marine Co 6,John V. Lindsay East River Park,East River Park
Upon This Rock Comm Garden,Brooklyn Bears Carlton Ave Garden,South Beach State Park,11 BC Serenity Garden,Genesee Park,6th St & Ave B Comm Garden
1 State Street Plaza,"1 BATTERY PARK PLAZA, New York, NY 10004","55 BROAD STREET, New York, NY 10004","160 WATER STREET, New York, NY 10038","95 WALL STREET, New York, NY 10005","180 WATER STREET, New York, NY 10038"
Penn South Playground,Liotti Ikefugi Playground,Sara D Roosevelt Park,Sara D. Roosevelt Park,Sara D. Roosevelt Parkway Plgd,Rodney Park Center
Highpoint,St. James Tower,Waterford,Strathmore,Austen House,Royale
1370 Avenue of the Americas,Alliance Capital,Brevard,"600 THIRD AVENUE, New York, NY 10016",McGraw-Hill,Carnegie Mews
Bloomingdale Park,IS 2 Playground/Ballfield,Bloomingdale Park,Frances Hamburger Sternberg Pk,Brookfield Park,Willowbrook Park
Ida Court,Livonia Park,Williamsburg Bridge Plaza,B.C.C.A. Mini-park and Garden,Ahearn Park,Bradhurst Ave Garden
176th Street Community Garden,Pier 83- Circle Line,Pier 81- Circle Line,Pier 83 - L.U.W,Dubos Point Wildlife Sanctuary,Dubos Point Wildlife Refuge
Concerned Residents of Montauk Avenue,East End Community Garden,Locust Manor Civic Association,Garden Of Love,Rodney Playground North Park,Carter G Woodson Childrens Pk
Keltch Memorial Park,William C Bergen Park,Mitchel Square Park,Herald Square.Park,Duffy Square Park,Maurice Muller Park
Richmond Parkway,Seabury Park,Coney Island Boat Basin,William Simmons Community Garden Club,Taqwa Community Farm,Taqwa Commnity Farm
Mellett Playground,PS 140 & Playground (Jop),Mary O'Connor Playground,Generation X Garden,Euclid Garden,Jackson-Forest Community Garden
Bayview Terrace Park  R-137,Norelli Hargreaves Plgd,Pulaski Park,El Jardin Del Paraiso Park,El Jardin De Paraiso Park,Pirates Cove Garden
Whitney,Sovereign,Churchill,Park Regis,Claridge House,New York Tower
Sterling Community Group,Family Community Garden,Big Red Garden,Shield Of Faith Garden,Laguardia Approach Lights Park,Triborough Bridge Approach
Plymouth Tower,Gilman Hall,"300 EAST 74 STREET, New York, NY 10021",Wimbledon,Carlton Towers,1 Dag Hammarskjold Plaza
Community Garden Association,132 St Block Association Park,Demera/Santiago Garden,Liz Christy Garden,W. 111th St. Harlem Garden,Latinos Unidos Garden
Police Officer Edward Byrne Pk,Glendale Playground,Seton Hospital Site,Seton Park,Rodney Park Center,Jacob Joffe Fields
Corlears Hook Park,Hillside Dog Park,Andrew Haswell Green Park,Tribeca Dog Run,Peter Detmold Park,Williamsbridge Oval
Smith Houses,Washington Bridge Park,Bridge Park,Ft. Washington Park Addition,Ft Washington Park Addition,Fort Washington Park
Devoe Park,Mill Pond Park,Frank D. O'Connor Playground,Davidson Ave. Community Gardeners Group,Macneil Park,John Golden Park
McKinley's Children's Garden,Mckinley's Children's Garden,First Quincy St Block Association,Stars Of Hope,Leave It Better Kids' Garden,Leave it Better Kids' Garden
Nicholas Naquan Heyward Jr. Park,Hell's Kitchen Park,Colucci Playground,Dome Playground,Grand Ferry Park,Barrier Playground
Two Federal Reserve Plaza,J.P. Morgan,"100 WILLIAM STREET, New York, NY 10038","175 WATER STREET, New York, NY 10038","101 BARCLAY STREET, New York, NY 10007",Sony
La Tourette Park & Golf Course,Courtlandt Avenue Assoc Garden,Courtlandt Avenue Association Garden,Lower East Side Ecology Center,"499 PARK AVENUE, New York, NY 10022",Lillian D Wald Playground
"140 BROADWAY, New York, NY 10005",One Liberty Plaza,Oxford,"230 WEST 27 STREET, New York, NY 10001","17 BATTERY PLACE, New York, NY 10004",One Lincoln Plaza
Will Washington Memorial Gdn,East End Community Garden,Sunshine Community Garden,John Allen Payne Park,Madison St Block Assoc Garden,Big Red Garden
Fiorello La Guardia Park,Harlem River Drive Park,Green Valley Garden,Ahearn Park,Blake Hobbs Playground,Harding Park
Gravesend Park,Osborn Playground,Redfern Houses Playground,Electric Playground,Rev Lena Irons Unity Park,"Phil ""Scooter"" Rizzuto Park"
Floral Vineyard Garden,Alley Park,Tudor Grove Playground,Mcdonald Square Park,Sunflower Garden,Seeley Street Park
Kosciuszko Street Garden,Bayswater,Ahearn Park,TLC Sculpture Park.Garden,Taylor-Soundview Block Assoc. Garden,Ebenezer Wesleyan Garden
Courtlandt Avenue Assoc Garden,La Tourette Park & Golf Course,La Tourette Park.& Golf Course,La Tourette Park.& Golfcourse,La Tourette Park & Golfcourse,Jardin De Las Rosas
Peter Detmold Park,Hillside Dog Park,Andrew Haswell Green Park,Corlears Hook Park,Tribeca Dog Run,Mount Prospect Park
Sh'ma Yisrael,Kissam Ave. Wetlands,Lemon Creek Park,Damrosch Park,Pier 86- Intrepid,Hendrick I Lott House
"985 FIFTH AVENUE, New York, NY 10075",Carnegie Towers,Emigrant Savings Bank,East Winds,Connaught Tower,Carlton Park
Southwest Promenade,Community Group of 349 Elton Street,Martin Luther King Memorial Pk,Longfellow Garden,Wanaqua Garden,Green Gems
Hancock T and T,Miracle Garden,Children's Miracle Garden,PS 192 Plgrd/Jacob Schiff,Park   R-100,Duffy Square Park
176st Street Community Garden,Maple Woods Park,Doscher St Block Assoc Garden,Broad Channel Park,Edgemere Coalition,Sakura Park
Dreier Offerman Park,Dreier-Offerman Park,Tremont Park,Marcy Green South,Grover Cleveland Playground,St. Albans Park
Eastern Parkway Coalition,Sterling Community Group,Cypress Hills Playground,S.I. Community College Park,Triangular Landscaped Property,Hart To Hart Garden Extension
Abraham Lincoln Playground,Power Playground,Washington Market Park,Woodtree Playground,Twenty Four Sycamores Park,Henry A Whalen Park
Park/Plot,Park/Plot,Prospect Park,John V. Lindsay East River Park,East River Park/Marine Co 6,East River Park
Stanford,"330 WEST 56 STREET, New York, NY 10019","950 THIRD AVENUE, New York, NY 10022",Adams Tower,Emigrant Savings Bank,One Sherman Square
Dante Park,Beach Street Park/Tribeca Park,Lowry Triangle,Peachtree Garden,Canal Park,North Shore Esplanade
Park Avenue Plaza,Olympic Tower,Galleria,"590 MADISON AVENUE, New York, NY 10022",Trump Tower,New York Palace Hotel
Hoyt Playground,Colucci Playground,P.O. Reinaldo Salgado Playground,Frank D. O'Connor Playground,Leif Ericson Playground,Leif Ericson Park
Salomon Smith Barney,"240 EAST 38 STREET, New York, NY 10016",One Penn Plaza,One Worldwide Plaza,Millenium Hilton Hotel,Sheffield
Crescent Beach Park,Crescent Beach Park,Crescent Beach Park Addition,Hybrid Oaks Woods Park,Staten Island Historic House,Blueberry Park
William H. Seward Park,Jennifer's Playground,Newtown Playground,Bronx River Park/Starlight Pk,Starlight Park Addition,Starlight Park
Haffen Park,Randolph Walker Park,Cunningham Park,Harris Park,Play Lawn,Chelsea Park
"40 RECTOR STREET, New York, NY 10006",Colonnade,"58 WEST 58 STREET, New York, NY 10019",Solow,"80 CENTRAL PARK WEST, New York, NY 10023",Bmw
PS 14 & Stapleton HSes Playgd,Marine Park/Jhs 278-K,E N Y Vocational HS Plgd,Success Garden,Henry Garnet Garden,T. Jefferson HS Greenhouse/Gdn
Bridge Park,Bridge Park,Highbridge Park,Henry Hudson Park,Henry Hudson/Pauls Park,Spuyten Duyvil Park
Three Park Avenue,"111 EAST 85 STREET, New York, NY 10028","475 PARK AVENUE SOUTH, New York, NY 10016",Carlton Park,E N Y Vocational HS Plgd,PS 5
132 St Block Association Park,Demera/Santiago Garden,Liz Christy Garden,W. 111th St. Harlem Garden,Latinos Unidos Garden,Community Garden
The Backyard Garden,Demera/Santiago Garden,Mobilization For Change,Latinos Unidos Garden,W. 111th St. Harlem Garden,Rivercourt
Austen House,"243 LEXINGTON AVENUE, New York, NY 10016",Strathmore,Ascot,"50 LEXINGTON AVENUE, New York, NY 10010",Trump World Tower
Los Amigos Garden,Triborough Bridge Approach,Woodycrest Community Garden,PS 309 Playground,Under Brooklyn Bridge,Georgia Ave Garden
Frederick Douglass Playground,Corporal John A. Seravalli Playground,Dean Playground,Utopia Playground,Vesuvio Playground,Centreville Playground
Centreville Playground,Corporal John A. Seravalli Playground,Frederick Douglass Playground,Utopia Playground,Laurelton Playground,Judge Moses Weinstein Playground
"900 THIRD AVENUE, New York, NY 10022",1251 Avenue of the Americas,McGraw-Hill,Stratford,General Motors Building,1 Dag Hammarskjold Plaza
Metro North Park,Brougham Cottage,Duffy Square Park,Manh Br Anchor/Coleman Sq Plgd,Pier 6,Alice Austen House & Park
"77 WATER STREET, New York, NY 10005",One Bankers Trust Plaza,"100 WALL STREET, New York, NY 10005",Wall Street Plaza,"180 WATER STREET, New York, NY 10038","55 WATER STREET, New York, NY 10041"
Revere,Carlton Towers,1 Dag Hammarskjold Plaza,Sovereign,Churchill,The Nash
Cambria Playground,Montbellier Park,Bennett Park,Bennett Rest Playground,Play Lawn,IS 2 Playground/Midland Field
Maurice Park,Frank Principe Park,Flushing Fields,Memorial Field Of Flushing,Harris Park,Breukelen Ballfields
Camargue,Fairmont,Laurence Tower,"45 EAST 89 STREET, New York, NY 10128","980 FIFTH AVENUE, New York, NY 10075",Caldwell
Granite St Block Assoc Garden,Rockaway Beach Boulevard,Schneider Sampson Park,Lincoln Rd Block Association,Bedford Green Park,Herbal Garden
1 Exchange Plaza,45 Broadway Atrium,"52 BROADWAY, New York, NY 10004","101 BARCLAY STREET, New York, NY 10007","100 WILLIAM STREET, New York, NY 10038","7 HANOVER SQUARE, New York, NY 10004"
Wave H/Perkins Botanical Grdns,Henry Hudson/Pauls Park,Spuyten Duyvil Park,Henry Hudson Park,University Park,University Woods
"135 EAST 57 STREET, New York, NY 10022",Paramount Plaza,The Harmony/David Rubenstein Atrium,McGraw-Hill,Two Lincoln Square,Grace
Colgate Close,Van Voorhees Park,Richman (Echo) Park,Rappaport Playground,Fort Hill Park,Power Playground
Latourette Park/S.I. Hist Soc,Latourette Park/S.I. Hist Soc,La Tourette Park,LaTourette Park & Golf Course,South Shore Country Club Park,Douglaston Park
Joseph Daniel Wilson Garden,W 124th Street Community Garden,El Garden,W. 111th St. Harlem Garden,Diamante Garden,Las Casitas Community Garden
Linnaeus Playground,Mapes Avenue Ballfield,Frank Golden Park,Frank Golden Memorial Park,Fordham Landing Playground,Memorial Field Of Flushing
Centro Cultural Garden,Wave H/Perkins Botanical Grdns,Henry Hudson/Pauls Park,Spuyten Duyvil Park,Henry Hudson Park,University Park
Dag Hammarskjold Tower,Strathmore,Normandie Court,Kingsley,"50 LEXINGTON AVENUE, New York, NY 10010",Austen House
L'Ecole,Newbury,Windsor,East River Towers,"45 EAST 89 STREET, New York, NY 10128",Plaza 400
Thomas Jefferson Park,Recreational Area,Carmine Recreation Center,Kosciusko Pool,Mariners Harbor Playground,Tottenville Pool
Annadale Park,Harlem Art Park,East Harlem Art Park,Fort Washington Park,Ft Washington Park Addition,Ft. Washington Park Addition
Children's Magical Garden,Morris-Jumel Ecological Education Garden,Morris-Jumel Ecological Garden,Mosaic Success Garden,Edith Garden,Marcy Park South
Carnegie Mews,Men's Apparel,Tower 53,"1133 SIXTH AVENUE, New York, NY 10036",Alliance Capital,World Apparel Center
Jardin De La Familia Garden,Ebenezer Wesleyan Methodist Ch,Lincoln Rd Block Association,Harmony Park,Umma Park Bmt Row,Vernon New Harvest Garden
Von Briesen Park,Mount Prospect Park,Robert Moses Playground,Hillside Dog Park,Peter Detmold Park,Corlears Hook Park
Green Oasis/Gilbert's Garden,Green Oasis/Gilbert's Garden,Jefferson Market Garden,Walt L Shemal Garden,Community Garden,Liz Christy Garden
Dr. Martin Luther King Jr Park,Mother Cabrini Park,Van Voorhees Park,Bill Brown Playground,Glenwood Playground,Ramon Aponte Park
Carolina Garden,St James Square Park,Cooper Square URA,Landscaped Area To Be New Park,Graham Square Park,Roy Wilkins Recreation Center
"90 WASHINGTON STREET, New York, NY 10006",Solow,Colonnade,Fontaine,Bmw,Architects and Designers
Elizabeth Langley Memor Garden,Sunshine Community Garden,Culinary Kids Garden,Prophecy Garden,Siempre Verde Garden,East End Community Garden
Jerome Gardens,Livonia Park,Greenbelt Native Plant Center,Libertad Urban Farm,Soundview Park,Mary O'Connor Playground
"780 THIRD AVENUE, New York, NY 10017",Tower 49,"747 THIRD AVENUE, New York, NY 10017",Carlton Regency,"40 EAST 52 STREET, New York, NY 10022","245 PARK AVENUE, New York, NY 10167"
Mahoney Playground,St. Vartan Park,St Vartan Park,Rodney Playground Center,St. Catherine's Park,Woodtree Playground
Barclays Bank,"55 WATER STREET, New York, NY 10041",Financial Square,Millenium Hilton Hotel,"59 MAIDEN LANE, New York, NY 10038","77 WATER STREET, New York, NY 10005"
