the_geom,uid_merged,uid,idold,idagency,facname,addressnum,streetname,address,city,boro,borocode,zipcode,latitude,longitude,xcoord,ycoord,bin,bbl,commboard,council,censtract,nta,the_geom_webmercator,facgroup,facsubgrp,factype,capacity,util,captype,utilrate,area,areatype,proptype,optype,opname,opabbrev,overlevel,overagency,overabbrev,agencyjuris,datasource,dataname,dataurl,datadate,pgtable,facdomain
0101000020E61000007B30293E3E7452C090F46915FD6B4440,,24435,,NYCDPR: X294,Palmer Inlet,,,,Bronx,Bronx,2,,40.843661,-73.816299,1035076.932,246699.2314,,,,13,27402,,0101000020110F0000B97B48349A585FC11A5C563E5F085341,Parks and Plazas,Preserves and Conservation Areas,Nature Area,,,,,NYCDPR: 7.001,NYCDPR: Acres,,Public,NYC Department of Parks and Recreation,NYCDPR,NYCDPR: City,NYC Department of Parks and Recreation,NYCDPR,,NYCDPR,NYCDPR: Parks Properties,NYCDPR: https://data.cityofnewyork.us/City-Government/Parks-Properties/rjaj-zgq7/data,NYCDPR: 2017-12-21,dpr_parksproperties,"Parks, Gardens, and Historical Sites"
0101000020E6100000B3075A81217E52C0DE74CB0EF15F4440,,81147,,,Mary O'Connor Playground,327,East   42 Street,327 East   42 Street,New York,Manhattan,1,10017,40.749544,-73.970795,992342,212357,,1013350012,106,4,8800,MN19,0101000020110F0000360AE9CE65695FC1EFFAB656DBFA5241,Parks and Plazas,Parks,Park,,,,,,,City Owned,Public,NYC Department of Parks and Recreation,NYCDPR,NYCDPR: City,NYC Department of Parks and Recreation,NYCDPR,NYCDPR,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2017-06-01,dcas_facilities_colp,"Parks, Gardens, and Historical Sites"
0101000020E6100000DAA9B9DC607852C05DF8C1F9D4594440,,195161,,NYCDOT: 33,Myrtle/Cooper Plaza,,,70th Street,Ridgewood,Queens,4,11385,40.701812,-73.880912,1017270,194987.9998,,,405,30,62900,QN19,0101000020110F000004253460A05F5FC1DA2EBF7F02F45241,Parks and Plazas,"Streetscapes, Plazas, and Malls",Pedestrian Plaza,,,,,,,City Owned,Public,NYC Department of Transportation,NYCDOT,NYCDOT: City,NYC Department of Transportation,NYCDOT,,NYCDOT,NYCDOT: Plaza Program,,NYCDOT: 2017-02-24,dot_facilities_pedplazas,"Parks, Gardens, and Historical Sites"
0101000020E6100000ED0E2906487F52C09AEE75525F584440,,193204,,NYCDCP: K020001,Livingston Plaza,130,LIVINGSTON STREET,130 Livingston Street,Brooklyn,Brooklyn,3,11201,40.690409,-73.988771,987364.0343,190811.2541,,3001630001,302,33,3700,BK38,0101000020110F0000951AFA135A6B5FC10F851DF05FF25241,Parks and Plazas,Privately Owned Public Space,Privately Owned Public Space,,,,,,,City Owned,Non-public,Not Available,Non-public,"NYCDCP,NYCDOB: City",NYC Department of Buildings;NYC Department of City Planning,NYCDCP;NYCDOB,NYCDCAS;NYCEDC,NYCDCAS;NYCDCP,NYCDCAS: City Owned and Leased Properties;NYCDCP: Privately Owned Public Spaces,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2017-06-01;NYCDCP: 2017-10-23,dcas_facilities_colp;dcp_pops,"Parks, Gardens, and Historical Sites"
0101000020E6100000F7E6374C347A52C07CB4386398594440,,34880,,NYCDOT: 82,Venditti Square Plaza,,,Woodbine,Ridgewood,Queens,4,11385,40.699963,-73.909442,1009360,194304.9999,,,405,34,54900,QN20,0101000020110F0000AF35B05CBA625FC1909BD49FBEF35241,Parks and Plazas,"Streetscapes, Plazas, and Malls",Pedestrian Plaza,,,,,,,City Owned,Public,NYC Department of Transportation,NYCDOT,NYCDOT: City,NYC Department of Transportation,NYCDOT,,NYCDOT,NYCDOT: Plaza Program,,NYCDOT: 2017-02-24,dot_facilities_pedplazas,"Parks, Gardens, and Historical Sites"
0101000020E6100000CFF41263997D52C00CEA5BE6745D4440,,32218,,,Transmitter Park,1,Kent Street,1 Kent Street,Brooklyn,Brooklyn,3,11222,40.73013,-73.962487,994647,205285,,3025430075,,4,6000,,0101000020110F00002D5000997E685FC1A33C814112F85241,Parks and Plazas,Parks,Park,,,,,,,City Owned,Public,NYC Department of Parks and Recreation,NYCDPR,NYCDPR: City,NYC Department of Parks and Recreation,NYCDPR,NYCDPR,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2017-06-01,dcas_facilities_colp,"Parks, Gardens, and Historical Sites"
0101000020E61000008599B67F657F52C0126C5CFFAE5B4440,,73196,,,PS 42 Playground,39,Ludlow Street,39 Ludlow Street,New York,Manhattan,1,10002,40.716278,-73.99057,986864,200236,,1003090027,103,1,1600,MN27,0101000020110F0000B89CDB248C6B5FC158E5279815F65241,Parks and Plazas,Recreation and Waterfront Sites,Playground,,,,,,,City Owned,Public,NYC Department of Education,NYCDOE,NYCDOE: City,NYC Department of Education,NYCDOE,NYCDOE,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2017-06-01,dcas_facilities_colp,"Parks, Gardens, and Historical Sites"
0101000020E61000008FFAEB15167952C0F23FF9BB77704440,,105047,,NYCDPR: X137,Jerome Park,,,Goulden Avenue,Bronx,Bronx,2,10468,40.878654,-73.891973,1014123.658,259413.7526,,2032460001,208,11,40900,BX28,0101000020110F0000926CB733D4605FC1E9AB56E6660D5341,Parks and Plazas,Parks,Neighborhood Park,,,,,NYCDPR: 4.244,NYCDPR: Acres,,Public,NYC Department of Parks and Recreation,NYCDPR,NYCDPR: City,NYC Department of Parks and Recreation,NYCDPR,,NYCDPR,NYCDPR: Parks Properties,NYCDPR: https://data.cityofnewyork.us/City-Government/Parks-Properties/rjaj-zgq7/data,NYCDPR: 2017-12-21,dpr_parksproperties,"Parks, Gardens, and Historical Sites"
0101000020E6100000749A05DA1D8052C0C39ACAA2B05B4440,,102844,,,Collect Pond Pk/Leonold St Fld,93,Centre Street,93 Centre Street,New York,Manhattan,1,10013,40.716328,-74.001822,983745,200254,1001832,1001690001,101,1,3100,MN24,0101000020110F00004EDF2349C56C5FC12A52236E17F65241,Parks and Plazas,Parks,Park,,,,,,,City Owned,Public,NYC Department of Parks and Recreation,NYCDPR,NYCDPR: City,NYC Department of Parks and Recreation,NYCDPR,NYCDPR,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2017-06-01,dcas_facilities_colp,"Parks, Gardens, and Historical Sites"
0101000020E610000084BA48A12C7952C02AC423F1F26C4440,,34901,,NYCDPR: X036,Murphy Triangle,,,,Bronx,Bronx,2,10457,40.851164,-73.893349,1013755.19,249397.4976,,,206,15,37504,BX17,0101000020110F000071C5F47EFA605FC147D0344773095341,Parks and Plazas,"Streetscapes, Plazas, and Malls",Triangle/Plaza,,,,,NYCDPR: 0.103,NYCDPR: Acres,City Owned,Public,NYC Department of Parks and Recreation,NYCDPR,NYCDPR: City,NYC Department of Parks and Recreation,NYCDPR,,NYCDPR,NYCDPR: Parks Properties,NYCDPR: https://data.cityofnewyork.us/City-Government/Parks-Properties/rjaj-zgq7/data,NYCDPR: 2017-12-21,dpr_parksproperties,"Parks, Gardens, and Historical Sites"
0101000020E6100000713D0AD7A37D52C0FAEE5696E8604440,,23850,,NYCDCP: M060077,Plaza 400,400,EAST 56 STREET,400 East 56 Street,New York,Manhattan,1,10022,40.757098,-73.963125,994465.9732,215110.0683,,1013670001,106,5,10601,MN19,0101000020110F0000570F665A90685FC1BF2922DBF0FB5241,Parks and Plazas,Privately Owned Public Space,Privately Owned Public Space,,,,,,,,Non-public,Not Available,Non-public,"NYCDCP,NYCDOB: City",NYC Department of Buildings;NYC Department of City Planning,NYCDCP;NYCDOB,,NYCDCP,NYCDCP: Privately Owned Public Spaces,,NYCDCP: 2017-10-23,dcp_pops,"Parks, Gardens, and Historical Sites"
0101000020E610000065E1EB6B5D8052C0E36F7B82C45E4440,,158283,,NYCDOT: 47,Gansevoort Plaza,,,9th Avenue,New York,Manhattan,1,10014,40.740372,-74.005702,982669.9999,209014,,,102,3,7900,MN23,0101000020110F000017FFFE43316D5FC1EEC90E6C8AF95241,Parks and Plazas,"Streetscapes, Plazas, and Malls",Pedestrian Plaza,,,,,,,City Owned,Public,NYC Department of Transportation,NYCDOT,NYCDOT: City,NYC Department of Transportation,NYCDOT,,NYCDOT,NYCDOT: Plaza Program,,NYCDOT: 2017-02-24,dot_facilities_pedplazas,"Parks, Gardens, and Historical Sites"
0101000020E6100000F4C13236747852C042B5C189E8554440,,61777,,NYCDPR: B558,Pagan's Garden,992,Sutter Avenue,992 Sutter Avenue,Brooklyn,Brooklyn,3,11208,40.671159,-73.882093,1016957.448,183819.8092,3089804,3040500121,305,42,116400,BK82,0101000020110F0000B7132D3EC15F5FC1B0E971819DEF5241,Parks and Plazas,Gardens,Garden,,,,,NYCDPR: 0.082,NYCDPR: Acres,,Public,NYC Department of Parks and Recreation,NYCDPR,NYCDPR: City,NYC Department of Parks and Recreation,NYCDPR,,NYCDPR,NYCDPR: Parks Properties,NYCDPR: https://data.cityofnewyork.us/City-Government/Parks-Properties/rjaj-zgq7/data,NYCDPR: 2017-12-21,dpr_parksproperties,"Parks, Gardens, and Historical Sites"
0101000020E610000024B55032397952C094A5D6FB8D624440,,120728,,,PS 2 & Playground,75-10,21 Avenue,75-10 21 Avenue,East Elmhurst,Queens,4,11370,40.769958,-73.894116,1013578.708,219810.8397,4021375,4009710001,401,22,31700,QN72,0101000020110F0000ED4468D70F615FC179F96260C9FD5241,Parks and Plazas,Recreation and Waterfront Sites,Playground,,,,,,,City Owned,Public,NYC Department of Education,NYCDOE,NYCDOE: City,NYC Department of Education,NYCDOE,NYCDOE,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2017-06-01,dcas_facilities_colp,"Parks, Gardens, and Historical Sites"
0101000020E610000025AFCE31208052C0581AF8510D574440,,112999,,,PS 142 & Playground,,,Rapelye Street,Brooklyn,Brooklyn,3,11231,40.680094,-74.001965,983705,187053,,3003690020,306,39,6300,BK33,0101000020110F0000A1A4EF43C96C5FC1723DFD5FE5F05241,Parks and Plazas,Recreation and Waterfront Sites,Playground/Sports Area,,,,,,,City Owned,Public,NYC Department of Education,NYCDOE,NYCDOE: City,NYC Department of Education,NYCDOE,NYCDOE,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2017-06-01,dcas_facilities_colp,"Parks, Gardens, and Historical Sites"
0101000020E6100000D32D3BC43F7A52C050C24CDBBF544440,61181;61184;61185,61168,,,Greenthumb Garden,,,Livonia Avenue,Brooklyn,Brooklyn,3,11212,40.662105,-73.910142,1009180,180512,,3035880032;3035880033;3035880035;3035880036,316,42,91600,BK81,0101000020110F00008B2FCDD7CD625FC18B767F5051EE5241,Parks and Plazas,Gardens,Community Garden,,,,,,,City Owned,Public,NYC Department of Parks and Recreation,NYCDPR,NYCDPR: City,NYC Department of Parks and Recreation,NYCDPR,NYCDPR,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2017-06-01,dcas_facilities_colp,"Parks, Gardens, and Historical Sites"
0101000020E6100000E22021CA177552C03CF6B3588A6E4440,,55552,,,Park,,,Baychester Avenue,Bronx,Bronx,2,10475,40.863597,-73.829577,1031389,253955,,2048160032,210,12,46201,BX13,0101000020110F0000C223B2BA0B5A5FC133C07EC13C0B5341,Parks and Plazas,Parks,Park,,,,,,,City Owned,Public,NYC Department of Parks and Recreation,NYCDPR,NYCDPR: City,NYC Department of Parks and Recreation,NYCDPR,NYCDPR,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2017-06-01,dcas_facilities_colp,"Parks, Gardens, and Historical Sites"
0101000020E6100000AF3E1EFAEE7E52C0E1B88C9B1A604440,,92295,,NYCDCP: M050082,"420 FIFTH AVENUE, New York, NY 10018",420,FIFTH AVENUE,420 Fifth Avenue,New York,Manhattan,1,10018,40.750812,-73.983336,988867.086,212818.1636,,1008397501,105,4,8400,MN17,0101000020110F000053F49AD2C26A5FC1860788EB09FB5241,Parks and Plazas,Privately Owned Public Space,Privately Owned Public Space,,,,,,,,Non-public,Not Available,Non-public,"NYCDCP,NYCDOB: City",NYC Department of Buildings;NYC Department of City Planning,NYCDCP;NYCDOB,,NYCDCP,NYCDCP: Privately Owned Public Spaces,,NYCDCP: 2017-10-23,dcp_pops,"Parks, Gardens, and Historical Sites"
0101000020E6100000CB82893F8A7E52C0C1C760C5A95C4440,134430;160878;173487,134425,,,Green Oasis/Gilbert's Garden,384,East    8 Street,384 East    8 Street,New York,Manhattan,1,10009,40.723931,-73.977188,990573,203025,,1003770018;1003770020;1003770024;1003770025,103,2,2602,MN28,0101000020110F0000FFAA80B9176A5FC1828CBA9B2EF75241,Parks and Plazas,Gardens,Community Garden,,,,,,,City Owned,Public,NYC Department of Parks and Recreation,NYCDPR,NYCDPR: City,NYC Department of Parks and Recreation,NYCDPR,NYCDPR,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2017-06-01,dcas_facilities_colp,"Parks, Gardens, and Historical Sites"
0101000020E610000022533E04557B52C0FF9600FC536C4440,,40553,,NYCDPR: X094,Bridge Park,,,,Bronx,Bronx,2,10452,40.846313,-73.927064,1004429.276,247620.3164,,,204,16,20501,BX36,0101000020110F0000FB59B3C7A4645FC10EAC87CEC0085341,Parks and Plazas,Parks,Neighborhood Park,,,,,NYCDPR: 7.157,NYCDPR: Acres,,Public,NYC Department of Parks and Recreation,NYCDPR,NYCDPR: City,NYC Department of Parks and Recreation,NYCDPR,,NYCDPR,NYCDPR: Parks Properties,NYCDPR: https://data.cityofnewyork.us/City-Government/Parks-Properties/rjaj-zgq7/data,NYCDPR: 2017-12-21,dpr_parksproperties,"Parks, Gardens, and Historical Sites"
0101000020E610000078B5DC99097C52C07FBC57AD4C6C4440,,41610,,NYCDOT: 28,Plaza de Las Americas,,,175th Street,New York,Manhattan,1,10033,40.84609,-73.938086,1001380,247537.0001,,,112,10,26300,MN36,0101000020110F0000E5255C85D7655FC1386D4E9AB8085341,Parks and Plazas,"Streetscapes, Plazas, and Malls",Pedestrian Plaza,,,,,,,City Owned,Public,NYC Department of Transportation,NYCDOT,NYCDOT: City,NYC Department of Transportation,NYCDOT,,NYCDOT,NYCDOT: Plaza Program,,NYCDOT: 2017-02-24,dot_facilities_pedplazas,"Parks, Gardens, and Historical Sites"
0101000020E61000007A56D28A6F8C52C046459C4EB24D4440,,158161,,,Saw Mill Creek Park  R-130,,,Industry Road,Staten Island,Staten Island,5,10314,40.607004,-74.194308,930297,160484,,5018010170,502,50,29102,SI05,0101000020110F000067418625B2815FC140296BA16CE65241,Parks and Plazas,Preserves and Conservation Areas,Natural Area/Wetland/Wildlife Refuge,,,,,,,City Owned,Public,NYC Department of Parks and Recreation,NYCDPR,NYCDPR: City,NYC Department of Parks and Recreation,NYCDPR,NYCDPR,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2017-06-01,dcas_facilities_colp,"Parks, Gardens, and Historical Sites"
0101000020E61000007E1AF7E6377C52C02A70B20DDC534440,,167579,,,PS 235 & Playground,525,Lenox Road,525 Lenox Road,Brooklyn,Brooklyn,3,11203,40.655153,-73.940912,1000645.09,177971.7676,3107846,3048440001,317,41,81400,BK91,0101000020110F0000C15F0C2B26665FC104F7B54652ED5241,Parks and Plazas,Recreation and Waterfront Sites,Playground,,,,,,,City Owned,Public,NYC Department of Education,NYCDOE,NYCDOE: City,NYC Department of Education,NYCDOE,NYCDOE,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2017-06-01,dcas_facilities_colp,"Parks, Gardens, and Historical Sites"
0101000020E61000006ABDDF68C77652C0CD1DFD2FD7684440,,39803,,,Playgnd-A Stevnson HS/Se BX HS,65,Randall Avenue,65 Randall Avenue,Bronx,Bronx,2,10473,40.819067,-73.855921,1024129,237718,,2035650001,209,18,1600,BX09,0101000020110F00004A7123E1E85C5FC1574ED2A6D6045341,Parks and Plazas,Recreation and Waterfront Sites,Playground,,,,,,,City Owned,Public,NYC Department of Education,NYCDOE,NYCDOE: City,NYC Department of Education,NYCDOE,NYCDOE,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2017-06-01,dcas_facilities_colp,"Parks, Gardens, and Historical Sites"
0101000020E6100000FF058200197E52C003ED0E29064E4440,,164271,,,Col. David Marcus Mem Plygrnd,1670,East 4 Street,1670 East 4 Street,Brooklyn,Brooklyn,3,11230,40.609563,-73.970276,992503,161358,,3066100042,312,44,43800,BK46,0101000020110F00008975525D57695FC1FC812E70CAE65241,Parks and Plazas,Recreation and Waterfront Sites,Playground/Sports Area,,,,,,,City Owned,Public,NYC Department of Parks and Recreation,NYCDPR,NYCDPR: City,NYC Department of Parks and Recreation,NYCDPR,NYCDPR,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2017-06-01,dcas_facilities_colp,"Parks, Gardens, and Historical Sites"
0101000020E6100000C959D8D30E8552C0F9BEB854A54F4440,,100175,,,PS 14 Plgd R-61,100,Tompkins Avenue,100 Tompkins Avenue,Staten Is,Staten Is,,10304,40.622233,-74.07903,962310.8079,165982.5451,5014176,5005450110,501,49,2900,SI37,0101000020110F000021CF79F929755FC1CC677EF29AE85241,Parks and Plazas,Recreation and Waterfront Sites,Playground,,,,,,,City Owned,Public,NYC Department of Parks and Recreation,NYCDPR,NYCDPR: City,NYC Department of Parks and Recreation,NYCDPR,NYCDPR,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2017-06-01,dcas_facilities_colp,"Parks, Gardens, and Historical Sites"
0101000020E6100000C7D79E59127D52C0910E0F61FC624440,,83020,,NYCDCP: M080053,Continental Towers,301,EAST 79 STREET,301 East 79 Street,New York,Manhattan,1,10075,40.773327,-73.954245,996923.0294,221023.9884,,1015427501,108,5,13800,MN32,0101000020110F0000FC3F4E3999675FC13280242E45FE5241,Parks and Plazas,Privately Owned Public Space,Privately Owned Public Space,,,,,,,,Non-public,Not Available,Non-public,"NYCDCP,NYCDOB: City",NYC Department of Buildings;NYC Department of City Planning,NYCDCP;NYCDOB,,NYCDCP,NYCDCP: Privately Owned Public Spaces,,NYCDCP: 2017-10-23,dcp_pops,"Parks, Gardens, and Historical Sites"
0101000020E6100000C6866EF6077952C015E3FC4D286E4440,,151895,,NYCDOT: 24,Fordham Plaza,3,Avenue,3 Avenue,Bronx,Bronx,2,10458,40.860605,-73.891111,1014370,252838,,2030330038,206,15,38500,BX01,0101000020110F0000765D7136BC605FC1D75BF2A7CE0A5341,Parks and Plazas,"Streetscapes, Plazas, and Malls",Pedestrian Plaza,,,,,,,City Owned,Public,NYC Department of Transportation,NYCDOT,NYCDOT: City,NYC Department of Transportation,NYCDOT,,NYCDOT,NYCDOT: Plaza Program,,NYCDOT: 2017-02-24,dot_facilities_pedplazas,"Parks, Gardens, and Historical Sites"
