Name,type,boro,zipcode,longitude,latitude,address,summary
St. John's Park,Community Park,Brooklyn,11213,-73.934754,40.67437,119 Troy Avenue,St Johns Park was the name of a 19thcentury park and the neighborhood of townhouses around it in what is now the Tribeca neighborhood of Lower Manhattan New York City The square was bounded by Varick Street Laight Street Hudson Street and Beach Street now also known for that block as Ericsson Place Although the name St Johns Park is still in use it is no longer a park and is inaccessible to the publicThe land was part of a plantation owned by an early settler to New Netherland and was later owned by the English crown which deeded it to Trinity Church The church built St Johns Chapel and laid out Hudson Square creating New York Citys first development of townhouses around a private park By 1827 the neighborhood had become known as St Johns Park and remained fashionable until about 1850 In 1866 it was sold to the Cornelius Vanderbilts Hudson River Railway Company and became the location of St Johns Park Freight Depot the railroads southern terminus The terminal was demolished in 1927 to allow construction of exits from the Port Authority of New York and New Jerseys Holland Tunnel
Soundview Park,Flagship Park,Bronx,10473,-73.866233,40.81158,Randall Avenue,Soundview Park sometimes referred to as Sound View Park is a 205 acres 83 ha park on Clason Point in the Bronx New York situated where the Bronx River flows into the East River roughly opposite Rikers Island and LaGuardia Airport The park is adjacent to the Clason Point Hunts Point and Soundview neighborhoods The park is operated by the New York City Department of Parks and Recreation The park is bounded by the Bronx River EstuaryEast River Lafayette Avenue Morrison Avenue Story Avenue Metcalf Avenue OBrien Avenue and Bronx River Avenue Soundview Park is equipped with playgrounds running tracks sports fields basketball and handball courts outdoor fitness equipment and kayakcanoe launching sites along the Bronx River Estuary A bicycle path runs through the park from Bronx River and Lafayette Avenues to Leland and OBrien Avenues
Hunts Point Riverside Park,Neighborhood Park,Bronx,10474,-73.881601,40.817682,,Hunts Point Little Riverside Park is a riverside park located in the Hunts Point neighborhood in the South Bronx section of New York City It is the first new riverside park to be built in the area in over sixty years and is the first of a planned series of parks to be linked by a bike route to create the South Bronx GreenwayGround was broken July 19 2004 on a US 32 million project to convert a vacant lot used as an illegal dumping ground into a 14acre 5700 m2 parkBefore the planned park project the site was an abandoned lot that was once part of a defunct Robert Moses era bridge project The POINT Community Development Corporations Majora Carter spearheaded the development of this park Hunts Point Riverside Park was the 2009 Silver Medalist of the Rudy Bruner Award for Urban Excellence
Commodore Barry Park,Community Park,Brooklyn,11205,-73.978937,40.697295,2 Park Avenue,Commodore Barry Park is an urban park in the Fort Greene neighborhood of the New York City borough of Brooklyn The park is operated by the New York City Department of Parks and Recreation It encompasses an area of 1039 acres 42000 m2 and holds baseball basketball football swimming pool and playground fieldsfacilities The park was acquired in 1836 by the Village of Brooklyn long before it was absorbed into New York City When first acquired it was called City Park It is the oldest park in the borough and it was named for Commodore John Barry in 1951 due to its location next to the Brooklyn Navy Yard that Barry helped found 
Walker Park,Recreation Field/Courts,Staten Island,10310,-74.10946,40.643322,88 Delafield Place,Walker Park is an unincorporated community in Tippecanoe Township Kosciusko County in the US state of Indiana
Stuyvesant Square,Neighborhood Park,Manhattan,10003,-73.983989,40.733642,,Stuyvesant Square is the name of both a park and its surrounding neighborhood in the New York City borough of Manhattan The park is located between 15th Street 17th Street Rutherford Place and Nathan D Perlman Place formerly Livingston Place Second Avenue divides the park into two halves east and west and each half is surrounded by the original castiron fenceThe neighborhood is roughly bounded by 14th Street to the south 18th or 19th Street to the north First Avenue to the east and Third Avenue to the west It is part of Manhattan Community Board 6
WNYC Transmitter Park,Neighborhood Park,Manhattan,,-73.961991,40.729784,,WNYC Transmitter Park is a 661acre public park located in the Greenpoint neighborhood of Brooklyn New York City where Greenpoint Avenue deadends by the East River shoreline The site was acquired by the public radio station WNYC in 1935 as the site of twin antennas used for broadcasting From 1937 to 1990 the cityoperated station broadcast its AM signal from this location Following the adoption of antennas in Kearny New Jersey and atop the World Trade Center the Greenpoint property sat unused Ground was broken for WNYC Transmitter Park in August 2010 followed by two years of construction with the park opening in September 2012
Clove Lakes Park,Community Park,Staten Island,10301,-74.113743,40.619462,1321 Victory Boulevard,Clove Lakes Park is a public park located in the New York City borough of Staten Island in the neighborhood of SunnysideWith valuable ecological assets Clove Lakes Park has a rich natural history and a few remnants of the past Chief among them are the parks lakes and ponds outcroppings of serpentine rocks and Staten Islands largest living thing a 119foottall 36 m tulip tree Clove Lakes Park is home to many species of indigenous wildlife Visitors can see fish such as black crappie brown bullhead bluegill emerald shiner pumpkinseed largemouth bass and carp birds such as redtailed hawk belted kingfisher doublecrested cormorant redwinged blackbird Canada goose and mallard as well as reptiles and amphibians like the common snapping turtle eastern painted turtle redeared slider and occasionally even the redbacked salamander The park is also home to mammals such as eastern gray squirrel muskrat eastern cottontail and eastern chipmunk Interstate 278 built in 1964 goes through the cleft inside the park to connect the roadway to major interchanges at the thennewly built VerrazanoNarrows Bridge to the East and the Goethals Bridge to the West When first proposed the expressway was to be named the Clove Lake Expressway The park is known for its cozy picnic accommodations and boating Besides strolling down trails and paddling on its bodies of water to appreciate its beauty visitors can also experience the park as a more modern recreation zone Several baseball diamonds a soccer field basketball court playgrounds and football field dot the parks landscape The Staten Island World War II Veterans Memorial Ice Skating Rink is an outdoor rink located in what could be called the active part of the park close to its other fields and courts The park consists of three lakes the main one is Clove Lake which run offs to Martling Lake and then to Brooks Lake
Inwood Hill Park,Community Park,Manhattan,10034,-73.925513,40.87256,269 Dyckman Street,Inwood Hill Park is a public park in the Inwood neighborhood of Manhattan New York City operated by the New York City Department of Parks and Recreation On a high schist ridge that rises 200 feet above the Hudson River from Dyckman Street to the northern tip of the island Inwood Hill Parks densely folded glacially scoured topography contains the largest remaining forest land on Manhattan Island Unlike other Manhattan parks Inwood Hill Park is largely natural being nonlandscaped hills mostly wooded
Sherman Square,Triangle/Plaza,Manhattan,10023,-73.982337,40.777373,,Sherman Square is a diminutive public space bounded by Broadway Amsterdam Avenue and West 70th Street on the Upper West Side of Manhattan in New York City just south of Verdi Square Acquired by the city in 1849 the small parcel of land was named in 1891 for William Tecumseh Sherman who had once lived nearbyIn the 1960s and 1970s Sherman Square and the nearby Verdi Square were known by local drug users and dealers as Needle Park This provided the title and general setting for the gritty 1971 film The Panic in Needle Park set in Sherman Square according to its credits directed by Jerry Schatzberg and starring Al Pacino in his second role
Chelsea Park,Playground,Manhattan,10001,-74.000728,40.749942,294 10 Avenue,Chelsea Park is a park on the west side of the Chelsea neighborhood of Manhattan New York City United States that dates back to 1910 The park has sports fields basketball and handball courts a childrens playground and space for sitting The surface is mostly tarmac or artificial turf with pits for the plane trees and some plots with annual flower plantings There is a statue to a World War I soldier the Doughboy Statue erected in 1921 The process of approval funding and clearing the tenements that occupied the site was protracted The park has since been upgraded several times by the Works Progress Administration and the New York City Department of Parks and Recreation
Baisley Pond Park,Community Park,Queens,11434,-73.786144,40.684542,116 Avenue,Baisley Pond Park is a public park located in the southeastern part of Queens New York City bordering the neighborhoods of South Jamaica Rochdale and St Albans It contains 10961 acres including the 30 acres of Baisley Pond in the center of the park It is maintained by the New York City Department of Parks and Recreation 
Peretz Square,Triangle/Plaza,Manhattan,10009,-73.988035,40.722968,1 Avenue,Peretz Square is a public park in Lower Manhattan New York City which marks the spot where Houston Street First Avenue and First Street meet Peretz Square marks the spot where the smaller grid of the Lower East Side meets the grand regularity of the Commissioners Plan street grid of 1811 The surrounding neighborhood was largely populated by Jewish immigrants in the late nineteenth and early twentieth centuries and was named after the Polish Yiddish language author and playwright Isaac Leib Peretz 18521915 The square was dedicated on November 23 1952
Bushwick Inlet Park,Recreation Field/Courts,Brooklyn,11249,-73.960614,40.72399,20 North 12 Street,Bushwick Inlet Park is a public park located in the Williamsburg neighborhood of Brooklyn New York City The park currently stretches along the East River between North 9th and 12th Streets and is eventually planned to reach into Greenpoint at Quay Street The park is named for Bushwick Inlet which will be located in a future northern extension Bushwick Inlet was originally a creek named Bushwick Creek which was fed by two tributaries in Williamsburg The site of the presentday park was used by manufacturing businesses in the mid19th century especially the Brooklyn Eastern District Terminal By the late 19th century Bushwick Creek had been used as a sewage outflow from the surrounding area The creek itself was infilled through various stages and the infill operations were completed by 1913 Plans for Bushwick Inlet Park were devised in 2005 during the rezoning of a 175block area in Greenpoint and Williamsburg However acquisition of the land took several years and cost tens of millions of dollars The city was able to complete the purchase of the land for the proposed park in 2016 after years of negotiations The only parts of the park that are open to the public are a series of soccer and football fields which opened in 2010 and a community center opened in 2013 The community center which also houses offices for the New York City Department of Parks and Recreation includes features intended to be environmentally sustainable such as a sloping green roof solar panels and geothermal heating
Duane Park,Triangle/Plaza,Manhattan,10013,-74.009367,40.717174,Hudson Street,Duane Park is a small triangular public urban park located in the Tribeca neighborhood of Manhattan New York City The park is bordered by Hudson Street to the east and branches of Duane Street on north and south sides The park is supported by a nonprofit group The Friends of Duane Park whose website contains a brief history of the park and its neighborhoodThe city of New York purchased Duane Park in 1795 from Trinity Church for five dollars The park is surrounded by commercial buildings which were constructed during the 19th century Duane Street which borders the park is named for James Duane an important parishioner at Trinity Church
Conference House Park,Nature Area,Staten Island,10307,-74.242121,40.499753,173 Billop Avenue,Conference House Park is a park in the Tottenville section of Staten Island New York one of the boroughs of New York City The park is named after the historic Conference House a c1680 stone manor house in which a peace conference was initiated on September 11 1776 by Lord Howe representing the British Crown with representatives of the Continental Congress including Benjamin Franklin in an effort to halt the American Revolution The Conference House is available for tours The area of the park was once part of Bentley Manor owned by the Billop family The Henry Hogg Biddle house constructed between 1845 and 1853 is another historic structure in the parkThe park contains several other buildings such as the Ward House the Biddle House and the RutanBeckett House All of the buildings listed above are currently closed for renovations The park is located along the coast along the Arthur Kill where it opens into Raritan Bay The park contains clay bluffs part of the terminal moraine formed when the Wisconsin Glacier receded 10000 years agoA Lenape Indian campsite and burial ground known as Burial Ridge are located within the boundaries of the park set back from the clay bluffs In the late eighteenth century George H Pepper of The American Museum of Natural History conducted archaeological digs on the site unearthing the remains of Lenape buried there There are still shell middens visible along the shore line that become exposed due to erosion The Lenape graveyard was looted for many years prior to the parks extensive overhaul by area inhabitants and others seeking to recover the grave goods buried with the bodiesIt also houses a pavilion on the west beach with a characteristic turquoise roof paths for walking and biking and the Lenape playground named for the areas original Native American inhabitants which is frequented by residents of the Tottenville and Tottenville Beach neighborhoods The park is the southernmost point in both New York City and New York State located at the southern terminus of Hylan Boulevard Many community events are held there every year including a locally popular fireworks show every 4th of July From 20022004 the park was renovated and upgraded during which the aforementioned pavilion paths and playground were constructed as well as a new visitors center and visitor parking The park has also been referred to as Swinnerton Park usually with respect to the Lenape playground which is located at the end of Swinnerton Street The footpaths offer views of waterside New Jersey towns across Raritan Bay while the pavilion overlooks the Arthur Kill and Perth Amboy New Jersey The park was slated for another set of improvements during 20082009 including the restoration of the Biddle House new educational exhibits and a second playground one of five which are planned for Staten Island as part of Mayor Michael Bloombergs PlaNYC initiative
One Worldwide Plaza,Privately Owned Public Space,Manhattan,10019,-73.986943,40.76223,825 Eighth Avenue,One Worldwide Plaza is the largest tower of a threebuilding mixeduse commercial and residential complex completed in 1989 in the New York City borough of Manhattan known collectively as Worldwide Plaza One Worldwide Plaza is a commercial office tower on Eighth Avenue Two Worldwide Plaza is a residential condominium tower west of the center of the block and Three Worldwide Plaza is a lowrise condominium residential building with street level stores on Ninth Avenue to the west of the towers Skidmore Owings Merrill was the designer for the office complex and the residential complex was designed by Frank Williams The complex whose component skyscrapers are among the list of tallest buildings in New York City occupies an entire city block bounded by Eighth Avenue Ninth Avenue 49th Street and 50th Street Located on the west side of Eighth Avenue One Worldwide Plaza is built on the site of New York Citys third Madison Square Garden
Van Cortlandt Park,Regional Park,Bronx,10470,-73.875027,40.901136,East 233 Street,Van Cortlandt Park is a 1146acre 464 ha park located in the borough of the Bronx in New York City Owned by the New York City Department of Parks and Recreation it is managed with assistance from the Van Cortlandt Park Conservancy and the Friends of Van Cortlandt Park The park the citys thirdlargest was named for the Van Cortlandt family which was prominent in the area during the Dutch and English colonial periods Van Cortlandt Parks sports facilities include golf courses and several miles of paths for running as well as facilities for baseball basketball cricket crosscountry running football horseback riding lacrosse rugby soccer softball swimming tennis and track and field The park also contains five major hiking trails and other walking trails Its natural features include Tibbetts Brook Van Cortlandt Lake the largest freshwater lake in the Bronx oldgrowth forests and outcrops of Fordham gneiss and Inwood marble Contained within the park is the Van Cortlandt House Museum the oldest surviving building in the Bronx and the Van Cortlandt Golf Course the oldest public golf course in the country The land that Van Cortlandt Park now occupies was purchased by Jacobus Van Cortlandt from John Barrett around 1691 His son Frederick built the Van Cortlandt House on the property but died before its completion Later the land was used during the Revolutionary War when the Stockbridge militia was destroyed by the Queens Rangers In 1888 the family property was sold to the City of New York and made into a public parkland The Van Cortlandt House which would later be designated as a historic landmark was converted into a public museum and new paths were created across the property to make it more passable In the 1930s the Robert Mosesdirected construction of the Henry Hudson Parkway and Mosholu Parkway fragmented Van Cortlandt Park into its six discontinuous pieces The last remaining freshwater marsh in New York State Tibbetts Brook was dredged and landscaped to accommodate construction causing largescale ecological disruption within the park The 1975 New York City fiscal crisis caused much of the park to fall into disrepair Gradual improvements began taking place from the late 1980s on including the addition of new pathways signage and security In 2014 the Van Cortlandt Park Master Plan 2034 was published providing a concrete blueprint of the parks proposed redevelopment in the following years
Ingram Woods,Nature Area,Staten Island,10314,-74.136612,40.609178,Warwick Avenue,Ingram Woods is a 37acre forest preserve in the Westerleigh neighborhood of Staten Island New York bound by Warwick Avenue Purdy Avenue Ingram Avenue and Gannon Avenue North The streets around Ingram Woods Park were laid out in 1907 by the firm of Wood Harmon Co for the planned community of South New York The properties were offered at the bargain price of 190 but because of the neighborhoods isolated location only a few homes were built by the time that the City began laying out the Staten Island Expressway The property was acquired by the city in 1957 as part of constructing the Expressway Along the highways path four other parks were designated along with Ingram Woods Bradys Pond Park Sports Park Father Macris Park and Westwood Park The park contains a lush forest planted with pin oaks sweetgum and sugar maple trees 
Starlight Park,Neighborhood Park,Bronx,10460,-73.882498,40.832634,1490 Sheridan Expressway,Starlight Park was an American amusement park located near West Farms Square in the Bronx New York east of the Bronx River It operated from 1918 to 1932Starlight Park was originally built for the Bronx International Exposition of Science Arts and Industries which was hosted in 1918 and as such the park was known as Exposition Park during that time During its heyday Starlight Park featured various amusement rides as well as the Bronx Coliseum and the submarine Holland The site is now occupied by a MTA Regional Bus Operations bus depot and a public park of the same name
Herald Square,Triangle/Plaza,Manhattan,10001,-73.987647,40.750293,1 Herald Square,Herald Square is formed by the intersection of Broadway Sixth Avenue officially named Avenue of the Americas and 34th Street in the borough of Manhattan in New York City Named for the New York Herald a nowdefunct newspaper formerly headquartered there it also gives its name to the surrounding area The intersection is a typical Manhattan bowtie square that consists of two named sections Herald Square to the north uptown and Greeley Square to the south downtown
Willowbrook Park,Nature Area,Staten Island,10314,-74.156961,40.600694,Ashworth Avenue,Willowbrook Park is a recreational park in Staten Islands neighborhood of Willowbrook It is part of the Staten Island Greenbelt The 164acre 066 km2 public park provides baseball fields a playground and a pond A carousel was opened in 1999 The former Staten Island Hotel can be seen from the park Willowbrook Lake is housed in Willowbrook Park and provides the pastime of fishing to park visitors Some species located in this lake are the brown bullhead largemouth bass carp and bluegill
Carnegie Hill Tower,Privately Owned Public Space,Manhattan,10128,-73.954948,40.785564,40 East 94 Street,Carnegie Hill Tower is a 32story condominium building located at 40 East 94th Street in New York City
Rufus King Park,Neighborhood Park,Queens,11432,-73.803381,40.70333,150-05 Jamaica Avenue,King Manor also known as the Rufus King House is in Jamaica Queens It was the home of Rufus King a signer of the United States Constitution a Senator from New York and Ambassador to Great Britain immediately after the American Revolution It is located at 150th Street and Jamaica Avenue Descendants of Kings family lived in the house until 1896 when Rufus granddaughter Cornelia King died and sold the house to the Village of Jamaica When Jamaica along with the western half of Queens County was annexed by New York City in 1898 the house and the property were turned over to the New York City Parks Department which redesignated the land as Rufus King Park It was declared a National Historic Landmark in 1974
Pelham Bay Park,Regional Park,Bronx,10465,-73.827431,40.856235,Bruckner Boulevard,Pelham Bay Park is a municipal park located in the northeast corner of the New York City borough of the Bronx It is at 2772 acres 1122 ha the largest public park in New York City The park is more than three times the size of Manhattans Central Park The park is operated by the New York City Department of Parks and Recreation NYC Parks Pelham Bay Park contains many geographical features both natural and manmade The park includes several peninsulas including Rodmans Neck Tallapoosa Point and the former Hunter and Twin Islands A lagoon runs through the center of Pelham Bay Park and Eastchester Bay splits the southwestern corner from the rest of the park There are also several recreational areas within the park Orchard Beach runs along Pelham Bay on the parks eastern shore Two golf courses and various nature trails are located within the parks central section Other landmarks include the BartowPell Mansion a city landmark as well as the Bronx Victory Column Memorial Grove Before its creation the land comprising the current Pelham Bay Park was part of Anne Hutchinsons shortlived dissident colony Part of New Netherland it was destroyed in 1643 by a Siwanoy attack in reprisal for the unrelated massacres carried out under Willem Kiefts direction of the Dutch West India Companys New Amsterdam colony In 1654 an Englishman named Thomas Pell purchased 50000 acres 200 km² from the Siwanoy land which would become known as Pelham Manor after Charles IIs 1666 charter During the American Revolutionary War the land was a buffer between Britishheld New York City and rebelheld Westchester serving as the site of the Battle of Pells Point where Massachusetts militia hiding behind stone walls still visible at one of the parks golf courses stopped a British advance The park was created in 1888 under the auspices of the Bronx Parks Department largely inspired by the vision of John Mullaly and passed to New York City when the part of the Bronx east of the Bronx River was annexed to the city in 1895 Orchard Beach one of the citys most popular was created through the efforts of Robert Moses in the 1930s
Hudson River Park,City-State Park,Manhattan,10036,-73.99896,40.76374,Battery Pl to W 59 St,Hudson River Park is a waterside park on the North River Hudson River and is the part of the Manhattan Waterfront Greenway that extends from 59th Street south to Battery Park in the New York City borough of Manhattan It is a joint state and city collaboration but is organized as a New York State publicbenefit corporation It is a 550acre 22 km2 park stretching 45 miles 72 km making it the secondbiggest park in Manhattan after Central Park The park arose as part of the West Side Highway replacement project in the wake of the abandoned Westway plan Bicycle and pedestrian paths spanning the park north to south open up the waterfront for recreational use The park includes tennis and soccer fields batting cages childrens playground dog run and many other features The parkland also incorporates several rebuilt North River piers along its length formerly used for shipping Hudson River Park connects many other recreational sites and landmarks It runs through the Manhattan neighborhoods of Lower Manhattan including Battery Park City World Trade Center and Tribeca Greenwich Village including the West Village and Meatpacking District Chelsea and Midtown West which includes Hudson Yards and Hells KitchenClinton
Crotona Park,Park,Bronx,10457,-73.899182,40.835993,Fulton Avenue,Crotona Park is a public park in the Bronx New York City United States It covers 1275 acres 0516 km2 01992 sq mi and includes a 33acre 13 ha lake as well as the Bronxs largest swimming pool and 28 species of trees The park is bounded by Crotona Park West also known as Fulton Avenue Crotona Park North Crotona Park East and Crotona Park South Claremont Parkway and Crotona Avenue pass through it The Crotona Play Center is in the western part of the park Robert Moses famously refused to realign the CrossBronx Expressway which is located several blocks north of the parks northern boundary to pass along the edge of the park and save a number of homes from demolition Late in August the park is the location of the EmblemHealth Bronx Open an International Tennis Federation womens tennis tournament with a 100000 purse which features players in the top 100 who use the tournament as a tuneup for the US Open which begins the following week The Bronx Open also hosts the United States Tennis Associations National Junior Doubles championship for boys and girls age 1416 Proceeds from the tournament benefit New York Junior Tennis and Learning
Ferry Point Park,Flagship Park,Bronx,10465,-73.833292,40.812382,450 Hutchinson Rvr Pkwy,Ferry Point Park is a 4138acre 1675 ha park in the Bronx New York City The park site is a peninsula projecting into the East River roughly opposite the College Point and Malba neighborhoods of Queens The park is located on the eastern shore of Westchester Creek adjacent to the neighborhood of Throggs Neck The park is operated by the New York City Department of Parks and Recreation The Hutchinson River Expressway Interstate 678 crosses the park to the BronxWhitestone Bridge splitting it into east and west sides The east side of the park has a golf course called Trump Ferry Point a community park and a waterfront promenade The east side borders are Saint Raymonds Cemetery Balcom Avenue Miles Avenue and Emerson Avenue and the East River and the BronxWhitestone Bridge The west side is heavily used for soccer cricket fishing and barbecues Friends of Ferry Point Park holds cleanup events plantings and helps care for the 3000 trees planted in the park as the Ferry Point 911 Memorial Grove and 911 Living Memorial Forest These trees were donated by the Prince of Monaco
Mullaly Park,Community Park,Bronx,10452,-73.924207,40.832774,River Avenue,John Mullaly 18351915 known as father of the Bronxs park system was a newspaper reporter and editor who was instrumental in forming the New York Park Association He was born in Belfast Ireland After coming to the United States he worked for the New York Herald the New York Tribune and the New York Evening Post He was the editor of the Metropolitan Record published by the Catholic Church in New York City He held public office including serving as the New York Commissioner of Health and serving on the board of tax assessors In 1887 he published a book with the impressive title New Parks beyond the Harlem with Thirty Illustrations and Map Descriptions of Scenery Nearly 4000 Acres of Free Playground for the People Abundant space for a Parade Ground a Rifle Range Base Ball Lacrosse Polo Tennis and all athletic games picnic and excursion parties and nine mile of waterfront for bathing fishing yachting and rowing
