Name,address,summary,long,num_ratings,zip,photo,lat,reviews,boro,rating,amenities,type,hours
Seeley Street Park,Seeley Street,,-73.977843,0,11218,None Available,40.65338,None Available,Brooklyn,0,,Park,unknown
Joseph Rodman Drake Park,Oak Point Avenue,,-73.882531,21,10474,https://maps.googleapis.com/maps/api/place/photo?maxwidth=2268&photoreference=CmRaAAAAMbe5d1i3jnwowz6j0lk_dAMA4xb29qeO6n9DhGAce1K73ugWLKsIOcxfY5LFbenN76yqK2dlHaL06L81q7XEvd5QUCXb8ju7tIiDF7WpyeXW1vg_EY8Rox0NHEF5SWsUEhDaBX20KPfEtymrRVJNwsF7GhSf0HSJtYhdjv4ABQ2NFm7tV7gb7A&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,40.810262, /AUTHOR: Cynthia De Jesus /RATING: 4 /TEXT: Fav place to walk my dogs /AUTHOR: Emely Martinez /RATING: 4 /TEXT: Wish someone would do historical tours here /AUTHOR: Alberto Villalobos /RATING: 5 /TEXT: Nice place to rest a little while. /AUTHOR: William Gonzalez /RATING: 5 /TEXT: Great app /AUTHOR: Steven T Lee /RATING: 2 /TEXT: The unique park inside the cemetery and enslaved African burial ground ,Bronx,4.1,,Park,"['Monday: 6:00 AM â€“ 10:00 PM', 'Tuesday: 6:00 AM â€“ 10:00 PM', 'Wednesday: 6:00 AM â€“ 10:00 PM', 'Thursday: 6:00 AM â€“ 10:00 PM', 'Friday: 6:00 AM â€“ 10:00 PM', 'Saturday: 6:00 AM â€“ 10:00 PM', 'Sunday: 6:00 AM â€“ 10:00 PM']"
Nelson Ave Playground Addition,1074 Nelson Avenue,,-73.927226,22,10452,https://maps.googleapis.com/maps/api/place/photo?maxwidth=3024&photoreference=CmRaAAAAZ4U88yUtviW2WH0y6s_bth_q2_QXJFfQDB9YY_VVfn7BSCDD8UF0HRpDwCPlfr-7cBwnD9dhF3AoiZ7Uohzgv-IQrln2KzHw7R-yJg449IBgg2fhDCtTvO-JvyvBXK8EEhDVqsB4KZmmg4hvZDXOPwIBGhSwn8GhdYkc11YMiQhLuLr8BYSe3Q&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,40.834564," /AUTHOR: Kimberly Herring Ok /RATING: 5 /TEXT: All ages, safe environment, great spot to relax, socialize, laugh and play. Close to stores, awesome bonding place during warm seasons , music,food, sports and clean always /AUTHOR: Iiaann Ian /RATING: 4 /TEXT: Great for the kids /AUTHOR: Nichole Dunn /RATING: 2 /TEXT: The parks and recreation hardly ever cleans it. There was needles over the little iron fence and a couple of little kids were caught with them. I have a 3 year old and this really angers me. He can't over the fence. /AUTHOR: Latoya Taylor /RATING: 1 /TEXT: Disgusting /AUTHOR: Ms Bullyish /RATING: 1 /TEXT: The park is filthy",Bronx,3.7,,Park,unknown
Fantasy Garden,181 Legion Street,,-73.916892,4884,11212,https://maps.googleapis.com/maps/api/place/photo?maxwidth=5472&photoreference=CmRaAAAAgfI4wUBPVGU63wYMIHuE9RDgzEaXPg3__3pw6-TrPcm6nXoMVcwpNsVCzG3C9wNPvZclnwOXXnMgBXYopQo1U8MMSuMaUWj8NT_Ld_2ydclG7_FjfnTpaIOymuAIe-XcEhDhrHZ0BqctKcgdGP9Sch2MGhSTSK5IPdjjN9VWR-6ZmgTsnKxkpw&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,40.664216," /AUTHOR: Aloys Wijngaards /RATING: 5 /TEXT: I loved the Brooklyn botanical gardens! I was here in early Spring, when the beautiful cherry blossoms had just kicked off. I can only imagine what the gardens must be like when there are even more flowers. The conservatory has several areas (temperate, desert, tropical) with beautiful plants. There's also a space dedicated to bonsai trees. The shop will allow you to start your own botanical garden... definitely worth a visit, it's a lovely way to balance the hectic NY concrete jungle. /AUTHOR: Aron Reyder /RATING: 5 /TEXT: Great place to come and relax. The place is clean and quiet. The sights are beautiful. There is so much to see here. Each plant it labeled with it's name and origin. There are outdoor plants which should be see at the end of the spring/ beginning of the summer. There is an indoor conservatory that houses exotic plants year round. This is well worth the price to come, relax, and see the sights. /AUTHOR: Chantelle Roberson /RATING: 3 /TEXT: My son's class was there for a field trip. It would have been nice to see more flowers in bloom. Some specimens we're blooming but they were more in the ground. It would have been nice if there were types that last year round or bloom in winter. Nice up-keep, but very ordinary. /AUTHOR: Emily M /RATING: 5 /TEXT: Brooklyn Botanic Garden was amazing. I went here many times! Recently though, I went to see the cherry blossoms, (only a few have bloomed) and got some nice shots! Also, a hawk lives nearby so I recommend bringing a camera with a long lens if you like to take pictures of birds! /AUTHOR: Sharon Ali /RATING: 5 /TEXT: Such a peaceful relaxing atmosphere. There's a couple of eateries so you can have a really good time. The conservatory was blooming. The magnolias we're in bloom and so was the daffodils. There's a newly opened section with a few benches and Boulder seating this is a welcome addition for those with issue sitting on and getting up from the lawns. It is free on Fridays 8am-12pm. It's a must visit to get away from the bustle of the city",Brooklyn,4.6,,Garden,"['Monday: Closed', 'Tuesday: 8:00 AM â€“ 6:00 PM', 'Wednesday: 8:00 AM â€“ 6:00 PM', 'Thursday: 8:00 AM â€“ 6:00 PM', 'Friday: 8:00 AM â€“ 6:00 PM', 'Saturday: 10:00 AM â€“ 6:00 PM', 'Sunday: 10:00 AM â€“ 6:00 PM']"
William B. Washington Memorial Garden,323 West 126 Street,,-73.951569,1,10027,None Available,40.811423, /AUTHOR: Alexander Munoz /RATING: 4 /TEXT: ,Manhattan,4,,Garden,unknown
6bc Botanical Garden,624 East    6 Street,,-73.980742,72,10009,https://maps.googleapis.com/maps/api/place/photo?maxwidth=4032&photoreference=CmRaAAAAFMupgSqvjiYrlOU7tfZSmcJTSJkVW3s6cVQRsmFBaXB7sh5S96SEiUR2neIlJ25gGP4MqG_yAE43tX9Xu0R1-f35iD3CGsLX--VjPDoQACWMuPkEDXRPMdO3z47ie8d_EhCdB8Jeml0W-GWOx_jK3dkSGhRtNUr6zrZFAittpX-xoTb9wQbgMQ&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,40.723869," /AUTHOR: Katie Macdonald /RATING: 5 /TEXT: One of my absolute favorite hideaways in the city. This community garden is such a peaceful place to read and breathe. I love how instead of individual plots, the garden is a unified community effort. If you are wandering around the east village, be sure to check this oasis out. /AUTHOR: francesca de ferrari /RATING: 5 /TEXT: NYBG are just breathtaking, and the courses they offered are smazing /AUTHOR: Jio Rossi Jr. /RATING: 5 /TEXT: Goldfish lake was my kids favorite.  Must go /AUTHOR: Nikole Taylor /RATING: 5 /TEXT: Wonderful little garden with a goldfish lake _Ÿ’• very nice small place to have lunch meditate etc. Donations always help keep the park open! /AUTHOR: Mark Hammer /RATING: 5 /TEXT: Brilliantly designed. Many nooks to explore. Great koi pond. Beautiful plants.",Manhattan,4.6,,Community Garden,"['Monday: 6:00 AM â€“ 8:00 PM', 'Tuesday: 6:00 AM â€“ 8:00 PM', 'Wednesday: 6:00 AM â€“ 8:00 PM', 'Thursday: 6:00 AM â€“ 8:00 PM', 'Friday: 6:00 AM â€“ 8:00 PM', 'Saturday: 12:00 â€“ 6:00 PM', 'Sunday: 12:00 â€“ 6:00 PM']"
Van Nest Memorial Park,666 Mead Street,,-73.865526,94,10462,https://maps.googleapis.com/maps/api/place/photo?maxwidth=1800&photoreference=CmRaAAAAcKRHTvQpEtQ5aUjehEMC3J6ti1cdcH66tXv3q00W6s3T9JrX_W1FKPo-IkSqhhZg7pNRhJ1e43qbhnHEOs1pHz64QFdJdiixxao7x5vIwMAxmv2D1513I6Xs1UTFOsYnEhBKIpBKzSUEh2yF1hsiyrIdGhQzjyXJO4BT-tQ84iABRG-skxA_aQ&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,40.842985," /AUTHOR: Plushh Masterr67 /RATING: 4 /TEXT: It's pretty good /AUTHOR: Berill Barna /RATING: 5 /TEXT: It's a lovely place. /AUTHOR: Gilbert Gonzalez /RATING: 3 /TEXT: Nice clean park, perfect for small children. /AUTHOR: Nik PeculiarOne /RATING: 5 /TEXT: Clean,small, shady, quiet park. Great spot for morning fun for children. /AUTHOR: Amanda Rivera /RATING: 5 /TEXT: A safer park now then when I was a kid",Bronx,4.2,,Park,"['Monday: 7:00 AM â€“ 9:00 PM', 'Tuesday: 7:00 AM â€“ 9:00 PM', 'Wednesday: 7:00 AM â€“ 9:00 PM', 'Thursday: 7:00 AM â€“ 9:00 PM', 'Friday: 7:00 AM â€“ 9:00 PM', 'Saturday: 7:00 AM â€“ 9:00 PM', 'Sunday: 7:00 AM â€“ 9:00 PM']"
Spargo Park,67 Street,,-73.897289,2,11377,https://maps.googleapis.com/maps/api/place/photo?maxwidth=4032&photoreference=CmRaAAAA-pzv6lwqZ9xm1Wi4shPVFgR9Y8lcQS-p0rc0b-FZG9KS91USkgVa1uwwSSSKu12EP_NCrx204DKEBfoS5A4ISAjAbJ4MZhkj7RC_6yaPYYOl_WAtL8MjBYTB4_uxmUmUEhAt1E-jGRBuYrYqnrkhQ6kkGhTcx2ZrK5w4Ts5bDf96pIeZezbs_A&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,40.741399, /AUTHOR: Mirage Hawk /RATING: 5 /TEXT: Great park /AUTHOR: Juliano Barbosa /RATING: 2 /TEXT: Very small. No park.,Queens,3.5,,Park,"['Monday: 6:00 AM â€“ 9:00 PM', 'Tuesday: 6:00 AM â€“ 9:00 PM', 'Wednesday: 6:00 AM â€“ 9:00 PM', 'Thursday: 6:00 AM â€“ 9:00 PM', 'Friday: 6:00 AM â€“ 9:00 PM', 'Saturday: 6:00 AM â€“ 9:00 PM', 'Sunday: 6:00 AM â€“ 9:00 PM']"
Brooklyn Borough Hall/Park,209 Joralemon Street,,-73.990296,42,11201,https://maps.googleapis.com/maps/api/place/photo?maxwidth=1632&photoreference=CmRaAAAA7Ham759bTOZD5N2JV_1WuDcSP7DuTvWjeCOr1PZpEFcqjsYMaP6QozIaosamh-kNMQGknsmVCBWqPGTBcLT_Ur2r-24-41I7QNDjq5ykAcBdrBjsp0oz3WqdvtH1eKQZEhBUeh3SLvd35kTRtfoofh8NGhSUwgas5kqJRVCaH2FZLISV8V-URw&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,40.692758," /AUTHOR: SA Ahmed /RATING: 5 /TEXT: Very beautiful attractive place in a prominent location. Everything around this place; food shop, grocery, government office, subway station, bus, big wide road, park, a law college, and above all people; lot of busy people are life of this place. Borough Hall subway station beside borough hall, available trains are 2 3 4 5 and R train. Some food cart are an extra attraction, food are not so cheap, not so expensive. /AUTHOR: slavik ya /RATING: 5 /TEXT: Nice place. It's a good spot for starting your exploring Brooklyn Heights. And it's easy to get to there. /AUTHOR: Brandon LastName /RATING: 4 /TEXT: Pretty building at the other end of the park /AUTHOR: Joanna O /RATING: 5 /TEXT: This is a historic, stately building.  The design is quite nice, and it's visually eye-catching both inside and outside. It's also in a good location with Cadman Plaza right next to it. If you like old buildings it's worth s look around the place if you can. /AUTHOR: Erick Washington CEM EMT-B SAR Tech II /RATING: 4 /TEXT: I've attended many functions at Brooklyn Borough Hall today was with Brooklyn Borough president Eric Adams encouraging all Community leaders to go back to their community and their organizations and get the word out to participate in the 2020 census",Brooklyn,4.6,,Park,"['Monday: 9:00 AM â€“ 5:00 PM', 'Tuesday: 9:00 AM â€“ 5:00 PM', 'Wednesday: 9:00 AM â€“ 5:00 PM', 'Thursday: 9:00 AM â€“ 5:00 PM', 'Friday: 9:00 AM â€“ 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']"
97th Street Block Association,97 Street,,-73.871435,0,11368,None Available,40.756148,None Available,Queens,0,,Garden,unknown
Grover Cleveland Playground,3-96 Grandview Avenue,,-73.910948,237,11385,https://maps.googleapis.com/maps/api/place/photo?maxwidth=3264&photoreference=CmRaAAAA9j-CiBfs01c46J2uQKbHbFVTbpQZoMYPBAEgvF5cRFnGssU1f9nzlgX5_V_EPY_SdEyrx0mpNdfvX9upbdjUwCeSZCTxa3H4AmTuZioR0jRulLAWIHUQ9smpyUvxIRSGEhBkf7dgtKYLvoP_dQBRuan6GhSxLnPfiH-Lfi4z3WEWayRxnwawOQ&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,40.710887," /AUTHOR: sandi baez /RATING: 5 /TEXT: A nice place to take the kids. Great for adults to exercise. Great for pet walks.  Family park! /AUTHOR: Andres Vera /RATING: 5 /TEXT: A nice place to play with your friends and family. /AUTHOR: Irsik Maria /RATING: 5 /TEXT: Huge park, with trees, also soccer playground, very nice less crowded in the morning /AUTHOR: Erika Perez de Quito /RATING: 4 /TEXT: It's a nice big park, love the playground for the children it's different from most places. Awesome for pretend play there is 'plane', a 'boat' and a section with 'houses' although kind of small (for toddlers) I still think children of all ages enjoy it. Be careful on sunny hot days this park is not shady which make the slides and swings very hot. /AUTHOR: Alexander Khanikaev /RATING: 1 /TEXT: People smoking and drinking openly. Not a good place for family.",Queens,4.2,,Neighborhood Park,"['Monday: 6:00 AM â€“ 9:00 PM', 'Tuesday: 6:00 AM â€“ 9:00 PM', 'Wednesday: 6:00 AM â€“ 9:00 PM', 'Thursday: 6:00 AM â€“ 9:00 PM', 'Friday: 6:00 AM â€“ 9:00 PM', 'Saturday: 6:00 AM â€“ 9:00 PM', 'Sunday: 6:00 AM â€“ 9:00 PM']"
Cadman Plaza Park,172 Cadman Plaza East,,-73.990566,687,11201,https://maps.googleapis.com/maps/api/place/photo?maxwidth=4160&photoreference=CmRaAAAAJEFhu9Hzslrz16UjTq_0nhi-bilXy1c_c21C8uXf7Z0MUH7ArpHFJHTrZZl-VOb5M7euu39SXOmDO5_-6zel0eiCXVXOVASLNXaPBJo91dy5L_xZAY9QoxwXq7BbjTt8EhA0wLOlR8VoNO71TK-38xtFGhRJcrkzKGq_dzBrhrvMkYSah2G0Lg&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,40.698381," /AUTHOR: Claudia Artazo /RATING: 3 /TEXT: I took a breather here after I crossed Brooklyn Bridge. There are benches you can sit and read book under the trees. A relaxing place to people watch... /AUTHOR: Elsa Vicent /RATING: 5 /TEXT: It's a nice place to sit down and people watch maybe have lunch meet up with friends go about your day after! /AUTHOR: Dianne Brown /RATING: 5 /TEXT: It's a great place to walk and sit then relax... very accessible to the subway stations... /AUTHOR: Vance Gorke /RATING: 5 /TEXT: Nice park. Great family hang out. /AUTHOR: Perry Weiner /RATING: 1 /TEXT: How the Hell do you know I went there 6 months ago.  This is ridiculous. Do you know what I wearing or what book I was reading or with whom I was having sex at the time? All very fascinating?  And by the way, I've been there a few times since 6 months ago, to avoid the freaking tourists that crawl around the East River Park.",Brooklyn,4.3,,Neighborhood Park,"['Monday: 6:00 AM â€“ 1:00 AM', 'Tuesday: 6:00 AM â€“ 1:00 AM', 'Wednesday: 6:00 AM â€“ 1:00 AM', 'Thursday: 6:00 AM â€“ 1:00 AM', 'Friday: 6:00 AM â€“ 1:00 AM', 'Saturday: 6:00 AM â€“ 1:00 AM', 'Sunday: 6:00 AM â€“ 1:00 AM']"
Cedar Playground,Cedar Avenue,,-73.917389,108,10453,https://maps.googleapis.com/maps/api/place/photo?maxwidth=3264&photoreference=CmRaAAAAReCla4_PCLQbifr_C3iFvOn6LSyvNjzNbCADCIYqOFyb_18Nbt226bXJifwQ-gNvLf0jzFQ16CJwlH8QAzSbF15b4RlZmjBU0Hqv3swJGfshCwdByh8iruaqT7ISF9IGEhDxsx13xMNlrq-NdA3zFFIBGhQEDpGFPS8udN5k73siKym0cSbgYw&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,40.855122," /AUTHOR: dante adams /RATING: 5 /TEXT: I love how they really renovated this ballpark and playground. It's very up to date and the equipment works very well. /AUTHOR: Mirna Baiz /RATING: 2 /TEXT: No bathrooms (in repair). Too many people with Dogs.  A young man recording a video, loud music. It's more like a kiddie Park. People should be more considerate. /AUTHOR: Marlene C. /RATING: 4 /TEXT: First time I see a gym in a park in nyc (maybe there's one in Riverside Park I'm not sure). Just for that i would go there regularly if I lived closer.  The park itself is not that big but I have found it to be quiet during the day when I pass. /AUTHOR: Andre Caravello /RATING: 5 /TEXT: A lot of workout equipment  Two full court basketball courts The playground has all of the equipment any kid would love to play on.  Nice view of the highway and landscaped hill. I have been here many times and I have not seen it crowded. /AUTHOR: Kenneth Murray /RATING: 5 /TEXT: This place has improved  drastically  since I was a child feels more safe",Bronx,4.2,,Neighborhood Park,unknown
Virginia Park,Westchester Avenue,,-73.86218,131,10472,https://maps.googleapis.com/maps/api/place/photo?maxwidth=3264&photoreference=CmRaAAAAD7Mx3BPIpl0xpjvsHrv6eLRnUZTHtrPChu7urM8OEIjVa2ZZPO-wPzxq-y_LIPuav4l5CwQnxuAP_XZ3WYMJZj6j1EgAsyIjaJHPP03KipheiAcnAGdNDG6IMjoMoubGEhAN11RFo_9Lm7QCcvQmlNYlGhRG-nz47GLZv5SPX_sFGITYNxaycg&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,40.833479," /AUTHOR: Lacey Williams /RATING: 3 /TEXT: This place is creepy at night. Especially, on the weekends, I have had bum run up on me a time or two. However, on the weekends you have the Step in and Kennedy fried chicken open. /AUTHOR: Valentina Hernandez /RATING: 4 /TEXT: Not a bad place to sit for a few minutes. /AUTHOR: jose martinez /RATING: 5 /TEXT: I love it specially when the fresh food market is available /AUTHOR: Abhi Asraf /RATING: 3 /TEXT: It's really good for kids and adults. The bus stop is is right beside it. It has cold water fountain for everyone and the best thing is the boat that sits in the middle of it. /AUTHOR: Lyndya Lee /RATING: 5 /TEXT: The West Side Market has the best, most fresh food, and products I have ever purchased. Love the lunches too.",Bronx,4,,Neighborhood Park,unknown
Breininger Park,239-12 Braddock Avenue,,-73.728897,86,11426,https://maps.googleapis.com/maps/api/place/photo?maxwidth=3264&photoreference=CmRaAAAAJzCOgDlAcMdyKnx1Z1upyqP7z8Tnw9qyvuxXrCpB5ZlKuyEptNr7tI0FsOW52KTeMgJr5lA19MWSIO9a9KcCH6JU1LShuNWngXYQXEPSEwSb_ru66uwLW0T67XFHhnVPEhDWL90DQr_3BS7H0nAZyeYtGhS6ZwLvHef_cAkwJ-QKL_MjNXLQUQ&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,40.726023," /AUTHOR: Manny Akim /RATING: 5 /TEXT: Best park, been going for a long while.  Great handball competition and a great bunch of guys.  Good for kids as well /AUTHOR: DaDerpPlayer 41 /RATING: 5 /TEXT: Big large space /AUTHOR: John Healy /RATING: 5 /TEXT: I watched some really great handball matches this past Saturday afternoon. There was a tournament that attracted some of the best handball players in the New York area /AUTHOR: J Santiago /RATING: 5 /TEXT: Good park to exercise. /AUTHOR: Renel Gedeon /RATING: 5 /TEXT: Fun tons to see and do no matter if problem or amateur people who love park come to breininger  playground",Queens,4.4,,Neighborhood Park,"['Monday: 6:00 AM â€“ 9:00 PM', 'Tuesday: 6:00 AM â€“ 9:00 PM', 'Wednesday: 6:00 AM â€“ 9:00 PM', 'Thursday: 6:00 AM â€“ 9:00 PM', 'Friday: 6:00 AM â€“ 9:00 PM', 'Saturday: 6:00 AM â€“ 9:00 PM', 'Sunday: 6:00 AM â€“ 9:00 PM']"
