Name,rating,num_ratings,zip,uid,address,boro,reviews,lat,website,long,photo,hours,type
Dreier Offerman Park,4.5,37,11214,95831,Cropsey Avenue,Brooklyn," /AUTHOR: Bryan Rodriguez /RATING: 5 /TEXT: Its a fun place and theirs some old memarys for some persons like me /AUTHOR: Mike Panariello /RATING: 5 /TEXT: My favorite park 😃 /AUTHOR: Joseph Comperchio /RATING: 3 /TEXT: Drier offerman park is a very nice pleasant park in the early morning so long as there is no Chinese people playing loud amplified in the children's playground area. /AUTHOR: Alex Rud /RATING: 5 /TEXT: nothing wrong with the park, but people are taking up parking spots in the summer /AUTHOR: Jose Zaba /RATING: 4 /TEXT: This is a beautifull park I enjoy it a lot",40.58783,https://www.nycgovparks.org/parks/calvert-vaux-park/facilities/playgrounds,-73.989764,https://maps.googleapis.com/maps/api/place/photo?maxwidth=5312&photoreference=CmRaAAAAoDFNGHwh6U0wPfYjk2cFYlXOhRe4SN2vO9FZtzgpHLMcByx7HXbXxtbQbRoERDEhgyjryCkiCKuXMDWiN1c5Sraj_9wZ-vBVImiEXzYPvpYCcJplxe3YOjQqk6g67kv7EhCyK6iO6uWE0MfQ16a2-uugGhS42nh2aUIG0sPA9vrty5T3QQbw8w&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,"['Monday: 6:00 AM – 9:00 PM', 'Tuesday: 6:00 AM – 9:00 PM', 'Wednesday: 6:00 AM – 9:00 PM', 'Thursday: 6:00 AM – 9:00 PM', 'Friday: 6:00 AM – 9:00 PM', 'Saturday: 6:00 AM – 9:00 PM', 'Sunday: 6:00 AM – 9:00 PM']",Park
Taylor-Soundview Block Assoc. Garden,0,0,10473,106851,564 Soundview Avenue,Bronx,None Available,40.816997,None Available,-73.86119,None Available,unknown,Garden
East End Community Garden,0,0,11207,61710,532 Glenmore Avenue,Brooklyn,None Available,40.673666,None Available,-73.890784,None Available,unknown,Garden
Family Community Garden,5,2,11208,102476,Cleveland Street,Brooklyn, /AUTHOR: Vera Berlyavsky /RATING: 5 /TEXT:  /AUTHOR: Luke Hellwig /RATING: 5 /TEXT: ,40.665364,http://61franklinstgarden.blogspot.com/,-73.881346,https://maps.googleapis.com/maps/api/place/photo?maxwidth=2448&photoreference=CmRaAAAA9xKMKBEIhFGxvfjzPif0nK_-Rjmspz3EVo5V2V3UCOGhuXV3NfpGpISsdwDUIc8OvIJUH8vx5V-r51SLHGDoXPzbLSjFcz4fGRKZhDKNKYPfPNSYT8If9Zrbk_uO-i_WEhCcHOMBIUZOoGVQMJrnKs1_GhTC3Ina2FeUUg_q2qf9v0PVvZreMw&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: Closed', 'Saturday: 10:00 AM – 3:00 PM', 'Sunday: 10:00 AM – 3:00 PM']",Garden
River Garden,4.1,22,10460,55822,1086 East  180 Street,Bronx," /AUTHOR: james castro /RATING: 5 /TEXT: Good for a chill afternoon /AUTHOR: Flak the gamer /RATING: 4 /TEXT: Near Yankee Stadium it's ok to play in /AUTHOR: liv nieves /RATING: 5 /TEXT: We asked for permission to look around on a Friday evening. Bernie welcomed us and gave us an educational tour on what to plant at the current time, tips on compost and in every bird that flew around, amazing!  He also has a magnificent collection of colorful roses. He was kind enough to give us a few bunches of herbs. Great experience.  I believe this garden is open to the public Wednesdays and Saturdays. /AUTHOR: skay Talks /RATING: 3 /TEXT: Bad area,cute place /AUTHOR: Pete bland /RATING: 5 /TEXT: To Liv Nieves.   Hi I'm Peter Bland and those are my roses and not Bernie's.  7 years ago I spent 2 weeks digging up the old over grown bushes to start that rose garden. I can tell you each name of every rose bush and what company they came from and the few colors that died. Due to working 7 days a week for the past two years and a new baby my wife and  I haven't had the time to be at the garden.  It's nice you had a good time but the information you were giving about who's roses they were was wrong. Also the name of the rose you took a photo of is ""Senior Prom"" and it's a sub-zero rose bush so it can take very cold weather.",40.841951,https://greenthumb.nycgovparks.org/,-73.876631,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=CmRaAAAA_3N525md4ToAB6iPOUz0Yh9yiJZe8QH8vsamCFqlFShbDv7i2AV1LcCoFXh4oyImHyIr_VPbQvS5_qVLIXt0euaoGiHq_nCbjKQtK8IW98_Xcw4zj-bc3PZEPOMoQ6KDEhC_NaC9SniMs11kQ2TQHvURGhRrgXZ7lNnbN9-4ONWhGBngNB9O2w&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,"['Monday: 6:00 AM – 9:00 PM', 'Tuesday: 6:00 AM – 9:00 PM', 'Wednesday: 6:00 AM – 9:00 PM', 'Thursday: 6:00 AM – 9:00 PM', 'Friday: 6:00 AM – 9:00 PM', 'Saturday: 6:00 AM – 9:00 PM', 'Sunday: 6:00 AM – 9:00 PM']",Park
Mae Grant Playground,4.1,15,10029,56687,1565 Madison Avenue,Manhattan," /AUTHOR: Pena_boy TSIO /RATING: 5 /TEXT: Clean and spacious /AUTHOR: Charm Capadon /RATING: 4 /TEXT: Nice playground has slides for the kids /AUTHOR: FDA/ RS /RATING: 4 /TEXT: This is a  nice Neighborhood Park with the following amenities: Playgrounds, Handball Courts, Water Fountain. And The kids love this area. I so do I. **** /AUTHOR: team savage gang /RATING: 5 /TEXT: It's a fun place to play at /AUTHOR: luis hernandez /RATING: 5 /TEXT: Had fun here",40.79244,https://www.nycgovparks.org/parks/mae-grant-playground,-73.94944,https://maps.googleapis.com/maps/api/place/photo?maxwidth=4032&photoreference=CmRaAAAAcP57qe6Un2swgfRcyswJ7Mnszck_ic6zY4vq7a90kmzTFnHQzWJ8B3SOAbYrPXNA6ivNGpedx5gg6LjuCuS3yNGxetu0sz5QiIn_SuuU2SmomHWc5kGtx1M_lyCJgd1eEhCgDre1TUwW37nUjDQ8X38jGhS7Hx6mjj6dp6YD3shyOwYZbGmSLQ&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,unknown,Neighborhood Park
White Park,4.5,21,10305,121192,Lyman Avenue,Staten+Island," /AUTHOR: Kathleen Daly /RATING: 5 /TEXT: Great park for little kids /AUTHOR: Jennifah Simmons /RATING: 4 /TEXT: Good for the little kids! Always nice and shady. Never too crowded. /AUTHOR: Karen Fredericks-Hershkowitz /RATING: 5 /TEXT: Beautiful and serene. /AUTHOR: Leo's Tech & Lifestyle /RATING: 5 /TEXT: Great playground for toddlers and older kids. Safe environment. Has a button activated sprinkler during summer. A hill which adults and kids can walk-up the steps or climb up the hill. /AUTHOR: James Byrne /RATING: 3 /TEXT: Small playground,  named for a WW1 vet from that area.",40.60758,https://www.nycgovparks.org/parks/white-playground-r012,-74.063136,https://maps.googleapis.com/maps/api/place/photo?maxwidth=980&photoreference=CmRaAAAAZ6-Yu8uNF_s0XdxfRzDC7ij67y4Ub_vQl1jZuDTyse7hGSf0q7fJQGBHbJ3yOw1kJajimafw_NE3AdrNgNBL0DMt-kI94PM6ok3ng6bGppIDmUlc8lqLXXmLSR2VIcHvEhCqYruBZ3guvSmOr5D2t0NaGhSoUdaSgF0LlT5_YWp9cwiv0Je4aQ&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,"['Monday: 7:00 AM – 9:00 PM', 'Tuesday: 7:00 AM – 9:00 PM', 'Wednesday: 7:00 AM – 9:00 PM', 'Thursday: 7:00 AM – 9:00 PM', 'Friday: 7:00 AM – 9:00 PM', 'Saturday: 7:00 AM – 9:00 PM', 'Sunday: 7:00 AM – 9:00 PM']",Neighborhood Park
Highland Park,4.4,1328,11385,164087,58-02 Vermont Avenue,Queens," /AUTHOR: Lorenzo Rivera /RATING: 5 /TEXT: Love coming to this park. You can get a good workout here basically anywhere. Pullup bars as well as dip bars, a running and bike trail. My favorite place to be during the spring and summertime. /AUTHOR: Alvan Neverson /RATING: 5 /TEXT: Big and spacious..  have a variety of activities and areas for fun and entertainment.. making new renovations to inprove the park. /AUTHOR: sony calcano /RATING: 5 /TEXT: Big park to spend quality time with the family .. at the present time since 2018 the park kids area east side has been renovated for the best which is a plus for future kids  enjoyment ... the park has area for handball basketball and baseball  playing also out door  adults and kids exercise area  and biking tracks /AUTHOR: mason manner /RATING: 4 /TEXT: Great oasis of green need to restore PUMP HOUSE and expand children's garden /AUTHOR: A S /RATING: 3 /TEXT: Definitely making a lot of improvements,  but as pretty as it looks, I don't feel safe there.",40.685539,https://www.nycgovparks.org/parks/highland-park,-73.892392,https://maps.googleapis.com/maps/api/place/photo?maxwidth=2848&photoreference=CmRaAAAA9YMqXGInE9R2iSSbSqG5Y8eyyz66Ty56qvbuHleml-cLV547eTWuSNSl-u-OI4sFV4WUA_Ahz13PbKXu5OqF-vov-QRz7E_kUrEWXGvRLSs9UW_PPL5GKA1-M8z1V0seEhCUyg8w9kktxSQPf9f_myaiGhSMEDlNxH50Dms8KmAR1dshS7h90w&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,"['Monday: 6:00 AM – 9:00 PM', 'Tuesday: 6:00 AM – 9:00 PM', 'Wednesday: 6:00 AM – 9:00 PM', 'Thursday: 6:00 AM – 9:00 PM', 'Friday: 6:00 AM – 9:00 PM', 'Saturday: 6:00 AM – 9:00 PM', 'Sunday: 6:00 AM – 9:00 PM']",Park
Monsignor Kett Playground,4.1,59,10034,178768,500 West 204 Street,Manhattan," /AUTHOR: Irma Lodezo /RATING: 4 /TEXT: This playground is very clean and every Saturday's  there's many things to do with your kids and  teenagers ,like basketball  games. /AUTHOR: the powers /RATING: 5 /TEXT: Good playground its free forbpeople to be in /AUTHOR: Monica Matos /RATING: 3 /TEXT: Small park next to basketball court. Children's playground which features statues of sealions. /AUTHOR: Glenn Jones /RATING: 4 /TEXT: In town for the Dyckman summer league tournament and was in love with the whole scene and feel and authenticity of the place. Love basketball? Make the summer pilgrimage. /AUTHOR: Donald parker /RATING: 3 /TEXT: This basketball court BRING dreams to Young Lil girls& boys putting their talents show the world. Dyckman basketball court make dreams come true.",40.862528,https://www.nycgovparks.org/parks/monsignor-kett-playground,-73.920913,https://maps.googleapis.com/maps/api/place/photo?maxwidth=4032&photoreference=CmRZAAAAJOQKanJTfNyprJGNwkIpCOKtaUBceCosHfPwnjdiQN0JT6skFMA5D0qD1YzLuZFKcbyxObTxcVI_rudST7yjTOw-tyt16_f_M_dYoj1MvNlmk7kUW3PKAokTJPkBfSVDEhAYeyrKzfWhMHMlU7UQduCAGhRrqFx-Zfdt5JMf7-iLSIb_SC8KgA&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,"['Monday: 7:00 AM – 9:00 PM', 'Tuesday: 7:00 AM – 9:00 PM', 'Wednesday: 7:00 AM – 9:00 PM', 'Thursday: 7:00 AM – 9:00 PM', 'Friday: 7:00 AM – 9:00 PM', 'Saturday: 7:00 AM – 9:00 PM', 'Sunday: 7:00 AM – 9:00 PM']",Neighborhood Park
Huguenot Ponds Park  R131,4.1,13,10312,165807,Comely Street,Staten+Island," /AUTHOR: Thomas Reen /RATING: 4 /TEXT: Pleasant area to go for a walk. /AUTHOR: Lou Apuzzio /RATING: 5 /TEXT: Good place for the kids /AUTHOR: Karen Harrison /RATING: 5 /TEXT: I,d like to visit this park with my family this summer. /AUTHOR: Gwen Actions /RATING: 5 /TEXT: Very beautiful  /AUTHOR: Scott Nicholls /RATING: 3 /TEXT: Just a pond.",40.530263,https://www.nycgovparks.org/parks/huguenot-ponds-park/,-74.18993,https://maps.googleapis.com/maps/api/place/photo?maxwidth=2306&photoreference=CmRaAAAA73QtXNW90MY2JzUwNMfPVMZ04LzahkZa1ivnhdMZPib4_-zdFT78YmTlb8LMVaS92dShdzyjuDslRsaTfpGsOmV988CiVMZPGx9ASqzTJrKjjdU3zwmvGDYRmmPqZ_fEEhCS69ue7DwSTBxtGvcG8Z-zGhSb-5rfLwBHos955Q5oQObHRV4j4w&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,unknown,Park
One Room Schoolhouse Park,2.3,3,11369,39679,25-10 90 Street,Queens, /AUTHOR: Pat T /RATING: 5 /TEXT:  /AUTHOR: The Pauling Family /RATING: 1 /TEXT:  /AUTHOR: Antony sumba /RATING: 1 /TEXT: ,40.763359,https://www.nycgovparks.org/parks/one-room-schoolhouse-park/,-73.879358,None Available,"['Monday: 6:00 AM – 9:00 PM', 'Tuesday: 6:00 AM – 9:00 PM', 'Wednesday: 6:00 AM – 9:00 PM', 'Thursday: 6:00 AM – 9:00 PM', 'Friday: 6:00 AM – 9:00 PM', 'Saturday: 6:00 AM – 9:00 PM', 'Sunday: 6:00 AM – 9:00 PM']",Park
General Worths Square Park,4.4,37,10010,103402,952 Broadway,Manhattan," /AUTHOR: Jim Turner /RATING: 5 /TEXT: It would be ok if you didn't have to wear clothes /AUTHOR: Rich Rivera /RATING: 5 /TEXT: One of the best shopping areas that i will recommend for my friends. You can finds lots of stuffs , foods and whatever you wanna find. It is build for  awesomeness. /AUTHOR: Jason Nadler /RATING: 5 /TEXT: Good park for a sit. /AUTHOR: Brady Candell /RATING: 2 /TEXT: I never really understood this spot.  It is a narrow strip of concrete surrounded by busy streets...just steps from a beautiful, forested park.  Why would anyone sit here?!! /AUTHOR: Daniel M. Eldridge /RATING: 5 /TEXT: One of two monuments in the New York City that is both a memorial and a mausoleum--General Worth is buried here. the other monument and mausoleum is Grant's Tomb.  William Jenkins Worth (March 1, 1794—May 7, 1849) was a officer in the United States army from 1813–1849 and served in the War of 1812, Second Seminole War, and Mexican-American War.  Worth is the namesake of: Worth Street, Fort Worth (Texas), Lake Worth (Texas), Worth County (Georgia), Lake Worth (Florida), Worth County (Missouri), Worth County (Iowa), Worthville (Kentucky).  Visit on his birthday and you'll likely find flowers--or bring your own and add to the display.",40.74271,https://www.nycgovparks.org/parks/worth-square/,-73.988975,https://maps.googleapis.com/maps/api/place/photo?maxwidth=3096&photoreference=CmRaAAAAxcYcqBeH9_tAkTMPqe1TJ6segR518Swsd_-kWnyJcYkdVPYV0WF6fEJdKld8Kn62INsI3zSpGw5_2G4-WmEdjgVrhVFABgGWoq5zWjaVt_KhsQtVVNbSY-cC1gH_k3ixEhCbBbn4NX99fZ1-z5fsxuBqGhTG9mkcPGTyEaO3m-5SEgXUzSHC1g&key=AIzaSyBYcuFsV7KTFtJsVKVFcrOEhKYhqpv8V7Y,"['Monday: 6:00 AM – 1:00 AM', 'Tuesday: 6:00 AM – 1:00 AM', 'Wednesday: 6:00 AM – 1:00 AM', 'Thursday: 6:00 AM – 1:00 AM', 'Friday: 6:00 AM – 1:00 AM', 'Saturday: 6:00 AM – 1:00 AM', 'Sunday: 6:00 AM – 1:00 AM']",Park
Thomas Boyland Park,0,0,11207,104480,Furman Avenue,Brooklyn,None Available,40.682003,None Available,-73.907516,None Available,unknown,Park
Hugh J. Grant Circle Park,0,0,10472,834,East 177 Street,Bronx,None Available,40.832975,None Available,-73.860968,None Available,unknown,Park
